mode_a,mode_b,n_a,n_b,mean_a,mean_b,delta_mean,cliff_delta,cliff_se,cliff_ci_lo,cliff_ci_hi,cliff_magnitude,wilcoxon_stat,wilcoxon_p,rank_biserial,n_nonzero_pairs,sig_holm
static,pizza,100,100,0.2989148282049211,0.30499528083536565,-0.006080452630444544,-0.08,0.10101,-0.28,0.12,negligible,2145.0,0.19136101989145005,-0.1505,100,False
dynamic,pizza,100,100,0.2802718820377754,0.30499528083536565,-0.024723398797590224,-0.58,0.08315,-0.74,-0.42,large,506.0,3.8664782622269174e-12,-0.7996,100,True
dynamic,static,100,100,0.2802718820377754,0.2989148282049211,-0.01864294616714568,-0.37,0.07456,-0.50944,-0.21658,medium,1322.0,3.529433389998873e-05,-0.47644,100,True
static_3step,pizza,100,100,0.33987056834505786,0.30499528083536565,0.03487528750969221,0.78,0.06323,0.64,0.9,large,259.0,6.635258714789308e-15,0.89743,100,True
static_3step,static,100,100,0.33987056834505786,0.2989148282049211,0.040955740140136754,0.6892,0.05435,0.58499,0.7968,large,527.0,6.430412901086112e-12,0.79129,100,True
static_3step,dynamic,100,100,0.33987056834505786,0.2802718820377754,0.059598686307282434,0.8712,0.03489,0.7966,0.93481,large,79.0,1e-16,0.96871,100,True
dynamic_3step,pizza,100,100,0.3574521602412174,0.30499528083536565,0.05245687940585175,1.0,0.0,1.0,1.0,large,0.0,1e-16,1.0,100,True
dynamic_3step,static,100,100,0.3574521602412174,0.2989148282049211,0.0585373320362963,0.9166,0.02277,0.8656,0.9558,large,33.0,1e-16,0.98693,100,True
dynamic_3step,dynamic,100,100,0.3574521602412174,0.2802718820377754,0.07718027820344198,0.9878,0.00578,0.974,0.9966,large,0.0,1e-16,1.0,100,True
dynamic_3step,static_3step,100,100,0.3574521602412174,0.33987056834505786,0.017581591896159543,0.3968,0.07083,0.2554,0.5378,medium,1082.0,6.994988008527532e-07,0.57149,100,True
