dataset,delta_mean,cliff_delta,cliff_se,cliff_ci_lo,cliff_ci_hi,cliff_magnitude,wilcoxon_p,winner,sig_holm_005
1,0.05245687940585175,1.0,0.0,1.0,1.0,large,1e-16,dynamic_3step,True
2,0.009501004963743481,0.66,0.07425,0.5,0.8,large,1.974672307577129e-09,dynamic_3step,True
3,-0.011961349694862622,-0.42,0.09189,-0.6,-0.22,medium,3.9965354711058935e-08,pizza,True
4,0.0072032915151562515,0.52,0.08567,0.34,0.68,large,2.6881517401389712e-06,dynamic_3step,True
5,0.0037083283574997905,0.48,0.08806,0.3,0.64,large,0.0010374753182760606,dynamic_3step,True
6,0.0014740581640826367,-0.12,0.10106,-0.32,0.08,negligible,0.04180176387558987,pizza,False
7,-0.07947033153488997,-1.0,0.0,-1.0,-1.0,large,1e-16,pizza,True
8,0.020677955939006343,0.8,0.06049,0.68,0.9,large,1.4591661045081621e-15,dynamic_3step,True
9,-0.02388435370559619,-0.96,0.02784,-1.0,-0.9,large,1e-16,pizza,True
10,0.0791611924587533,1.0,0.0,1.0,1.0,large,1e-16,dynamic_3step,True
11,-0.0374320685147313,-1.0,0.0,-1.0,-1.0,large,1e-16,pizza,True
12,-0.005917368449206206,-0.08,0.10098,-0.28,0.12,negligible,0.030829381083950343,pizza,False
13,0.015375865049189585,0.668,0.07347,0.52,0.8078,large,2.884536279160242e-12,dynamic_3step,True
14,0.048810286157866534,0.98,0.02059,0.94,1.0,large,1e-16,dynamic_3step,True
15,0.0269054934805652,0.72,0.06775,0.58,0.84,large,8.80280981656619e-14,dynamic_3step,True
20,0.007508318722723228,0.78,0.06353,0.64,0.9,large,4.220912101095269e-14,dynamic_3step,True
25,-0.0010124638555332882,-0.0148,0.09919,-0.21401,0.18,negligible,0.32882454634893676,pizza,False
30,0.02616571694407363,0.8,0.0606,0.66,0.92,large,6.283587274042714e-15,dynamic_3step,True
