dataset,mode_a,mode_b,n_a,n_b,mean_a,mean_b,delta_mean,pct_rel,cohens_d,magnitude,mwu_p,significant_005,winner
1,dynamic_3step,pizza,100,100,0.3574521602412174,0.30499528083536565,0.05245687940585175,17.199242972604424,4.293549067911594,very large,2.7068808044354536e-35,True,dynamic_3step*
2,dynamic_3step,pizza,100,100,0.24373001086475338,0.2342290059010099,0.009501004963743481,4.0562888132474955,1.101976092012291,large,2.7443995540853685e-16,True,dynamic_3step*
3,dynamic_3step,pizza,100,100,0.25033033659291,0.2622916862877726,-0.011961349694862622,-4.560323609242902,-0.9179803536998565,large,1.9131269600733038e-07,True,pizza*
4,dynamic_3step,pizza,100,100,0.268037001156324,0.26083370964116775,0.0072032915151562515,2.7616413250671896,0.6336748603736497,medium,1.1488786609985291e-10,True,dynamic_3step*
5,dynamic_3step,pizza,100,100,0.2711792704575477,0.2674709421000479,0.0037083283574997905,1.3864415806755879,0.37241385554521583,small,2.6814093591887027e-09,True,dynamic_3step*
6,dynamic_3step,pizza,100,100,0.2551873033081122,0.25371324514402954,0.0014740581640826367,0.5809937763579642,0.12907934809354907,trivial,0.13738864163375786,False,dynamic_3step
7,dynamic_3step,pizza,100,100,0.16818584235003883,0.2476561738849288,-0.07947033153488997,-32.08897653882642,-5.238247243198725,very large,2.58959947428297e-35,True,pizza*
8,dynamic_3step,pizza,100,100,0.24967385919873977,0.22899590325973343,0.020677955939006343,9.029836623563016,2.0522906153291287,very large,3.396164251050024e-23,True,dynamic_3step*
9,dynamic_3step,pizza,100,100,0.2290680306278001,0.2529523843333963,-0.02388435370559619,-9.442233078189188,-1.943207507309358,very large,1.281429252621288e-32,True,pizza*
10,dynamic_3step,pizza,100,100,0.27955896936093955,0.20039777690218624,0.0791611924587533,39.50203125127068,6.164769362740447,very large,2.607626797616225e-35,True,dynamic_3step*
11,dynamic_3step,pizza,100,100,0.29931993785661065,0.33675200637134195,-0.0374320685147313,-11.115618558024075,-2.4421582082152824,very large,2.58959947428297e-35,True,pizza*
12,dynamic_3step,pizza,100,100,0.3348539477348298,0.340771316184036,-0.005917368449206206,-1.73646318459811,-0.41426285752114145,small,0.3221850155607131,False,pizza
13,dynamic_3step,pizza,100,100,0.37317142692471067,0.3577955618755211,0.015375865049189585,4.297388421642561,1.3566280257911032,very large,1.280029104656892e-16,True,dynamic_3step*
14,dynamic_3step,pizza,100,100,0.3680812422281454,0.3192709560702789,0.048810286157866534,15.288044599685499,3.117104903904643,very large,3.8395616501402585e-34,True,dynamic_3step*
15,dynamic_3step,pizza,100,100,0.38142432521720904,0.35451883173664384,0.0269054934805652,7.589298810662924,1.6140084500520586,very large,4.3307304043143094e-19,True,dynamic_3step*
20,dynamic_3step,pizza,100,100,0.14913277134883215,0.14162445262610893,0.007508318722723228,5.301569456049601,1.6668547589145875,very large,4.324703084940535e-22,True,dynamic_3step*
25,dynamic_3step,pizza,100,100,0.09901976174098333,0.10003222559651662,-0.0010124638555332882,-1.0121376881257202,-0.21910105373498637,small,0.8554759394323043,False,pizza
30,dynamic_3step,pizza,100,100,0.23318762709482954,0.2070219101507559,0.02616571694407363,12.639105167670143,1.8779704588781496,very large,3.4941601821678514e-23,True,dynamic_3step*
