study,dataset,planning_mode,trial,seed,num_drones,budget,fov_deg,victim_model,likelihood,victims_found,path_length,cells_observed,sim_time,wall_time,planner,N,n_paths
tree_crossover,1,dynamic_3step,0,42,5,200000.0,45.0,random_walk,0.365941865995328,0,200020.61429108315,13816,8507.0,131.82705128123828,dynamic,3,2
tree_crossover,1,tree_3step,0,42,5,200000.0,45.0,random_walk,0.3144789989823315,0,200000.53549814137,10864,8508.0,73.12735807993249,tree,3,512
tree_crossover,1,dynamic_3step,1,43,5,200000.0,45.0,random_walk,0.3438244085437049,0,200017.88555925371,12606,8527.0,133.66267708080164,dynamic,3,2
tree_crossover,1,tree_3step,1,43,5,200000.0,45.0,random_walk,0.3446454095538755,0,200006.2104194172,12609,8496.0,71.07131841655347,tree,3,512
tree_crossover,1,dynamic_3step,2,44,5,200000.0,45.0,random_walk,0.3516756318575127,2,200000.79227947217,13101,8505.0,127.58238547845791,dynamic,3,2
tree_crossover,1,tree_3step,2,44,5,200000.0,45.0,random_walk,0.3551581305557529,2,200013.59054160997,13296,8493.0,67.29153043877476,tree,3,512
tree_crossover,1,dynamic_3step,3,45,5,200000.0,45.0,random_walk,0.3702206975325809,1,200013.6752237926,14854,8519.0,135.32849825542797,dynamic,3,2
tree_crossover,1,tree_3step,3,45,5,200000.0,45.0,random_walk,0.3675646343374634,1,200000.12861380336,14193,8510.0,72.24596947189679,tree,3,512
tree_crossover,1,dynamic_3step,4,46,5,200000.0,45.0,random_walk,0.3290894384079146,2,200016.1587405721,11322,8512.0,131.59938790407415,dynamic,3,2
tree_crossover,1,tree_3step,4,46,5,200000.0,45.0,random_walk,0.3451368772711891,1,200001.0049348539,14099,8521.0,76.26382359284253,tree,3,512
tree_crossover,1,dynamic_4step,0,42,5,200000.0,45.0,random_walk,0.3370128553946339,0,200013.9729447149,12703,8478.0,165.3112521561696,dynamic,4,3
tree_crossover,1,tree_4step,0,42,5,200000.0,45.0,random_walk,0.3305629756510566,0,200006.93494559836,12034,8524.0,69.93589667677597,tree,4,4096
tree_crossover,1,dynamic_4step,1,43,5,200000.0,45.0,random_walk,0.3374344468055724,0,200010.8213055403,12967,8499.0,163.82590702946925,dynamic,4,3
tree_crossover,1,tree_4step,1,43,5,200000.0,45.0,random_walk,0.3534043631538805,0,200015.19716865272,14894,8465.0,76.2397551793557,tree,4,4096
tree_crossover,1,dynamic_4step,2,44,5,200000.0,45.0,random_walk,0.3523512830597582,2,200017.53523544729,13638,8488.0,162.12877490713817,dynamic,4,3
tree_crossover,1,tree_4step,2,44,5,200000.0,45.0,random_walk,0.3707455799117962,2,200012.60487659008,14517,8511.0,74.28656090511399,tree,4,4096
tree_crossover,1,dynamic_4step,3,45,5,200000.0,45.0,random_walk,0.3574321936162157,3,200006.57954203137,15170,8506.0,157.34968177086745,dynamic,4,3
tree_crossover,1,tree_4step,3,45,5,200000.0,45.0,random_walk,0.3674420651922034,2,200018.4135203371,14492,8507.0,74.05950252916314,tree,4,4096
tree_crossover,1,dynamic_4step,4,46,5,200000.0,45.0,random_walk,0.3308347321927272,1,200023.39382422305,12429,8497.0,159.91362323113714,dynamic,4,3
tree_crossover,1,tree_4step,4,46,5,200000.0,45.0,random_walk,0.3432360006699706,2,200024.39489946884,12374,8528.0,75.63246392874652,tree,4,4096
tree_crossover,1,dynamic_5step,0,42,5,200000.0,45.0,random_walk,0.3510376602868413,0,200003.310209353,12801,8520.0,187.82638867717708,dynamic,5,4
tree_crossover,1,tree_5step,0,42,5,200000.0,45.0,random_walk,0.3795735264405532,0,200024.7918091525,14941,8521.0,102.67336618906798,tree,5,32768
tree_crossover,1,dynamic_5step,1,43,5,200000.0,45.0,random_walk,0.3400712694580746,0,200000.26654937927,14241,8500.0,189.23752330880856,dynamic,5,4
tree_crossover,1,tree_5step,1,43,5,200000.0,45.0,random_walk,0.3637957383753941,2,200008.59396405352,14920,8512.0,100.48245070169462,tree,5,32768
