study,dataset,planning_mode,trial,seed,num_drones,budget,fov_deg,victim_model,likelihood,victims_found,path_length,cells_observed,sim_time,wall_time,_job_key
tree_baseline,1,tree_3step,0,42,5,200000.0,45.0,random_walk,0.3144789989823315,0,200000.53549814137,10864,8508.0,70.79966497421265,tree_3step|seed=42
tree_baseline,1,tree_3step,1,43,5,200000.0,45.0,random_walk,0.3446454095538755,0,200006.2104194172,12609,8496.0,69.4693021774292,tree_3step|seed=43
tree_baseline,1,tree_3step,2,44,5,200000.0,45.0,random_walk,0.3551581305557529,2,200013.59054160997,13296,8493.0,67.32170104980469,tree_3step|seed=44
tree_baseline,1,tree_3step,3,45,5,200000.0,45.0,random_walk,0.36756463433746345,1,200000.12861380336,14193,8510.0,70.23320198059082,tree_3step|seed=45
tree_baseline,1,tree_3step,4,46,5,200000.0,45.0,random_walk,0.3451368772711891,1,200001.0049348539,14099,8521.0,72.67132186889648,tree_3step|seed=46
tree_baseline,1,tree_3step,5,47,5,200000.0,45.0,random_walk,0.3529255012371136,0,200008.2568488493,13297,8519.0,70.74545812606812,tree_3step|seed=47
tree_baseline,1,tree_3step,6,48,5,200000.0,45.0,random_walk,0.352385247672545,1,200001.78376946505,13862,8523.0,69.97767686843872,tree_3step|seed=48
tree_baseline,1,tree_3step,7,49,5,200000.0,45.0,random_walk,0.31864430318919873,1,200004.03176386422,11770,8505.0,69.59636569023132,tree_3step|seed=49
tree_baseline,1,tree_3step,8,50,5,200000.0,45.0,random_walk,0.3396480637967548,2,200011.44102933555,12044,8514.0,71.06738805770874,tree_3step|seed=50
tree_baseline,1,tree_3step,9,51,5,200000.0,45.0,random_walk,0.3712413013619281,2,200009.46271447587,14719,8509.0,70.6959969997406,tree_3step|seed=51
tree_baseline,1,tree_3step,10,52,5,200000.0,45.0,random_walk,0.3381302549345342,2,200011.6831700616,14322,8523.0,75.1119019985199,tree_3step|seed=52
tree_baseline,1,tree_3step,11,53,5,200000.0,45.0,random_walk,0.3721183019848977,1,200006.6346682588,14939,8498.0,72.95254588127136,tree_3step|seed=53
tree_baseline,1,tree_3step,12,54,5,200000.0,45.0,random_walk,0.33983759652388074,2,200019.5487378763,12576,8529.0,74.41685009002686,tree_3step|seed=54
tree_baseline,1,tree_3step,13,55,5,200000.0,45.0,random_walk,0.35231649433607604,1,200016.10752197972,13008,8495.0,70.11799502372742,tree_3step|seed=55
tree_baseline,1,tree_3step,14,56,5,200000.0,45.0,random_walk,0.3720166932038005,1,200010.97962482707,15041,8512.0,74.13074016571045,tree_3step|seed=56
tree_baseline,1,tree_3step,15,57,5,200000.0,45.0,random_walk,0.3727735363272708,1,200020.1339825145,14578,8507.0,71.47986388206482,tree_3step|seed=57
tree_baseline,1,tree_3step,16,58,5,200000.0,45.0,random_walk,0.346004871507814,2,200003.84275165157,14243,8534.0,74.30632019042969,tree_3step|seed=58
tree_baseline,1,tree_3step,17,59,5,200000.0,45.0,random_walk,0.3389707027018787,3,200021.9036480557,12559,8505.0,70.84907412528992,tree_3step|seed=59
tree_baseline,1,tree_3step,18,60,5,200000.0,45.0,random_walk,0.36423501108529743,1,200016.91219926463,13844,8518.0,75.39177799224854,tree_3step|seed=60
tree_baseline,1,tree_3step,19,61,5,200000.0,45.0,random_walk,0.30843527081706784,2,200006.95941722844,10469,8540.0,73.08844327926636,tree_3step|seed=61
tree_baseline,1,tree_3step,20,62,5,200000.0,45.0,random_walk,0.3627054377978804,2,200020.9737557466,14126,8508.0,74.77746295928955,tree_3step|seed=62
tree_baseline,1,tree_3step,21,63,5,200000.0,45.0,random_walk,0.37053375066376154,1,200003.65551743068,14395,8511.0,74.25203514099121,tree_3step|seed=63
tree_baseline,1,tree_3step,22,64,5,200000.0,45.0,random_walk,0.3511915695215939,2,200003.9556677754,14587,8520.0,73.98025918006897,tree_3step|seed=64
tree_baseline,1,tree_3step,23,65,5,200000.0,45.0,random_walk,0.3501325823242487,2,200017.87265238995,14560,8514.0,73.41824412345886,tree_3step|seed=65
tree_baseline,1,tree_3step,24,66,5,200000.0,45.0,random_walk,0.3158905466479728,2,200000.51691429334,11509,8485.0,72.50704383850098,tree_3step|seed=66
tree_baseline,1,tree_3step,25,67,5,200000.0,45.0,random_walk,0.36078674936448996,1,200013.6501996562,13702,8503.0,73.08074498176575,tree_3step|seed=67
tree_baseline,1,tree_3step,26,68,5,200000.0,45.0,random_walk,0.3540933308943204,1,200020.2841998671,14859,8511.0,73.66913199424744,tree_3step|seed=68
tree_baseline,1,tree_3step,27,69,5,200000.0,45.0,random_walk,0.31370829531855693,1,200004.49772638062,10960,8510.0,71.85640120506287,tree_3step|seed=69
tree_baseline,1,tree_3step,28,70,5,200000.0,45.0,random_walk,0.36411437664344914,3,200007.4048709051,14977,8510.0,74.03337812423706,tree_3step|seed=70
tree_baseline,1,tree_3step,29,71,5,200000.0,45.0,random_walk,0.37236322655381426,1,200004.32241763294,15037,8509.0,73.69737029075623,tree_3step|seed=71
