study,dataset,planning_mode,trial,seed,num_drones,budget,fov_deg,victim_model,likelihood,victims_found,path_length,cells_observed,sim_time,wall_time
victim_model,1,pizza,1,42,5,200000.0,45.0,random_walk,0.3049448203078362,0,200005.54543874832,12860,7997.0,46.495285749435425
victim_model,1,pizza,2,43,5,200000.0,45.0,random_walk,0.3050258122279614,1,199950.78402175003,12866,8001.0,47.532400608062744
victim_model,1,pizza,3,44,5,200000.0,45.0,random_walk,0.3049653869314785,3,200021.4487519557,12863,7999.0,44.18646216392517
victim_model,1,pizza,4,45,5,200000.0,45.0,random_walk,0.3049448203078362,1,200014.02923663336,12860,7997.0,46.212955951690674
victim_model,1,pizza,5,46,5,200000.0,45.0,random_walk,0.3050258122279614,2,199975.7557606355,12866,8001.0,44.28850603103638
victim_model,1,pizza,6,47,5,200000.0,45.0,random_walk,0.3050258122279614,2,199994.8228365796,12866,8001.0,42.03296709060669
victim_model,1,pizza,7,48,5,200000.0,45.0,random_walk,0.3049653869314785,1,200012.8496245136,12863,7999.0,43.02016639709473
victim_model,1,pizza,8,49,5,200000.0,45.0,random_walk,0.3050258122279614,1,199972.4537295323,12866,8001.0,43.622065782547
victim_model,1,pizza,9,50,5,200000.0,45.0,random_walk,0.3049448203078362,1,200002.43918069307,12860,7997.0,43.05289697647095
victim_model,1,pizza,10,51,5,200000.0,45.0,random_walk,0.3050258122279614,2,199972.62246599817,12866,8001.0,43.319052934646606
victim_model,1,pizza,11,52,5,200000.0,45.0,random_walk,0.3050258122279614,1,199971.44364894603,12866,8001.0,40.77252173423767
victim_model,1,pizza,12,53,5,200000.0,45.0,random_walk,0.3049448203078362,1,200019.826212753,12860,7997.0,41.26269245147705
victim_model,1,pizza,13,54,5,200000.0,45.0,random_walk,0.3050258122279614,1,200008.87198865254,12866,8000.0,41.88928985595703
victim_model,1,pizza,14,55,5,200000.0,45.0,random_walk,0.3049448203078362,1,200001.2683519915,12861,7998.0,42.953452348709106
victim_model,1,pizza,15,56,5,200000.0,45.0,random_walk,0.3050258122279614,0,199922.78882549587,12866,8001.0,39.70809817314148
victim_model,1,pizza,16,57,5,200000.0,45.0,random_walk,0.3050258122279614,1,199986.27004224958,12866,8001.0,41.94138813018799
victim_model,1,pizza,17,58,5,200000.0,45.0,random_walk,0.3050258122279614,2,199986.45782700542,12866,8001.0,41.49462270736694
victim_model,1,pizza,18,59,5,200000.0,45.0,random_walk,0.3049448203078362,3,200014.63021522478,12861,7998.0,41.5179078578949
victim_model,1,pizza,19,60,5,200000.0,45.0,random_walk,0.3049653869314785,1,200004.6178232223,12863,7999.0,41.398969888687134
victim_model,1,pizza,20,61,5,200000.0,45.0,random_walk,0.3048836775997154,3,200008.1216624179,12857,7995.0,39.604315519332886
victim_model,1,pizza,21,62,5,200000.0,45.0,random_walk,0.3049448203078362,1,200000.85585545193,12861,7998.0,42.34940457344055
victim_model,1,pizza,22,63,5,200000.0,45.0,random_walk,0.3049653869314785,1,200016.12473009594,12863,7999.0,44.003809690475464
victim_model,1,pizza,23,64,5,200000.0,45.0,random_walk,0.3050258122279614,1,199930.56256784828,12866,8001.0,44.07357096672058
victim_model,1,pizza,24,65,5,200000.0,45.0,random_walk,0.3050258122279614,1,199902.75011697886,12866,8001.0,42.62158989906311
