kind,state_step,N,U,seconds
map,100,1,,0.003076858324930072
map,100,2,,0.007924001526553183
map,100,3,,0.012322555757127701
map,100,4,,0.017020741675514726
map,100,5,,0.02155853174161166
map,100,6,,0.026508439877070487
map,100,7,,0.03138510504039004
map,500,1,,0.0032078174175694586
map,500,2,,0.008041719128377735
map,500,3,,0.012741718161851167
map,500,4,,0.017403220050036906
map,500,5,,0.021794563352596014
map,500,6,,0.026580434937495737
map,500,7,,0.031089525008574127
map,1000,1,,0.0032419383223168553
map,1000,2,,0.007988091569859534
map,1000,3,,0.012795390062965453
map,1000,4,,0.017368234950117765
map,1000,5,,0.022159594199620186
map,1000,6,,0.02619010921800509
map,1000,7,,0.03126218588789925
map,2000,1,,0.003488744113128632
map,2000,2,,0.008428245787508786
map,2000,3,,0.012966964216902853
map,2000,4,,0.018029955117963254
map,2000,5,,0.02247355253668502
map,2000,6,,0.02675686254631728
map,2000,7,,0.030713333324529232
map,3000,1,,0.003620660773012787
map,3000,2,,0.007780933349858969
map,3000,3,,0.013063033458311111
map,3000,4,,0.017680730039719494
map,3000,5,,0.022201871720608325
map,3000,6,,0.028051490816287696
map,3000,7,,0.03479054420022294
select,100,3,1.0,2.470415784046054e-05
select,100,3,2.0,5.151338642463088e-05
select,100,3,5.0,0.00012358903186395764
select,100,3,10.0,0.00023742340970784426
select,100,3,20.0,0.00047572416020557283
select,500,3,1.0,2.40641413256526e-05
select,500,3,2.0,4.750256193801761e-05
select,500,3,5.0,0.00012030156096443534
select,500,3,10.0,0.0002390684001147747
select,500,3,20.0,0.00046950251329690217
select,1000,3,1.0,2.398659475147724e-05
select,1000,3,2.0,4.751326981931925e-05
select,1000,3,5.0,0.00012038077227771282
select,1000,3,10.0,0.00024065505480393767
select,1000,3,20.0,0.0004785957862623036
select,2000,3,1.0,2.496840199455619e-05
select,2000,3,2.0,4.800661467015743e-05
select,2000,3,5.0,0.00012247911887243391
select,2000,3,10.0,0.00024132664548233153
select,2000,3,20.0,0.00047259407350793483
select,3000,3,1.0,2.390489913523197e-05
select,3000,3,2.0,4.8098338302224876e-05
select,3000,3,5.0,0.00012085823109373451
select,3000,3,10.0,0.00024155917344614863
select,3000,3,20.0,0.00046931330347433687
