dataset,planning_seed,planning_mode,tv_final,tv_max,entropy_legacy_final,entropy_evidence_final,max_cell_legacy_final,max_cell_evidence_final,action_disagreement_rate
1,42,dynamic,0.054897,0.055999,11.853946,11.840548,8.1e-05,5.7e-05,0.314871
1,42,dynamic_3step,0.043307,0.043307,11.870267,11.832301,9.4e-05,8.9e-05,0.283964
1,42,online_static,0.004158,0.004159,11.701805,11.700026,8.2e-05,8.1e-05,0.0
1,42,online_static_3step,0.014746,0.014746,11.773295,11.760752,8.9e-05,8.7e-05,0.0
1,43,dynamic,0.04317,0.04317,11.866525,11.858185,9.1e-05,8.9e-05,0.46201
1,43,dynamic_3step,0.04284,0.04284,11.886596,11.851636,8.5e-05,9e-05,0.039789
1,43,online_static,0.001129,0.001131,11.659287,11.660791,8.8e-05,8.8e-05,0.0
1,43,online_static_3step,0.01137,0.01137,11.756698,11.747135,8.7e-05,8.6e-05,0.0
1,44,dynamic,0.027115,0.027115,11.876681,11.8596,9.3e-05,9e-05,0.015541
1,44,dynamic_3step,0.036759,0.036759,11.869909,11.840103,0.000116,0.000111,0.0
1,44,online_static,0.003358,0.003395,11.688146,11.687019,8.1e-05,8e-05,0.0
1,44,online_static_3step,0.015724,0.015724,11.780044,11.766082,8.9e-05,8.8e-05,0.0
7,42,dynamic,0.016313,0.016313,12.309413,12.309132,4e-05,5e-05,0.266274
7,42,dynamic_3step,0.007127,0.007127,12.246898,12.245959,5.9e-05,6.6e-05,0.00498
7,42,online_static,0.00021,0.00021,12.190723,12.193551,0.000105,0.000105,0.0
7,42,online_static_3step,0.002158,0.002158,12.224527,12.225908,5.7e-05,6e-05,0.0
7,43,dynamic,0.020668,0.020668,12.322213,12.319538,4.5e-05,4.4e-05,0.073765
7,43,dynamic_3step,0.007342,0.007342,12.236518,12.234855,5.8e-05,6.4e-05,0.0
7,43,online_static,0.000258,0.000258,12.189998,12.192755,5.7e-05,5.8e-05,0.0
7,43,online_static_3step,0.000436,0.000436,12.196556,12.199164,0.000106,0.000106,0.0
7,44,dynamic,0.030409,0.030409,12.311501,12.295182,5.7e-05,6.7e-05,0.15128
7,44,dynamic_3step,0.011347,0.011347,12.285152,12.281107,6.2e-05,6.7e-05,0.051174
7,44,online_static,0.000919,0.000919,12.207101,12.209251,5.6e-05,5.8e-05,0.0
7,44,online_static_3step,0.000348,0.000348,12.187155,12.189897,5.7e-05,5.8e-05,0.0
10,42,dynamic,0.009701,0.009701,11.6259,11.625514,7.3e-05,7.3e-05,0.050123
10,42,dynamic_3step,0.090741,0.090741,11.627844,11.639705,8.2e-05,8.9e-05,0.984547
10,42,online_static,0.002617,0.002638,11.513805,11.513393,8.2e-05,8.2e-05,0.0
10,42,online_static_3step,0.003663,0.003721,11.523718,11.52187,8.9e-05,8.9e-05,0.0
10,43,dynamic,0.009314,0.009397,11.611729,11.610672,7.3e-05,7.2e-05,0.039457
10,43,dynamic_3step,0.055311,0.055311,11.66365,11.649907,5.9e-05,5.7e-05,0.288938
10,43,online_static,0.001412,0.001433,11.490232,11.491523,8.4e-05,8.4e-05,0.0
10,43,online_static_3step,0.003832,0.003859,11.531255,11.529133,8.6e-05,8.6e-05,0.0
10,44,dynamic,0.030366,0.032487,11.633162,11.631464,7.4e-05,7.4e-05,0.723839
10,44,dynamic_3step,0.081076,0.081076,11.637926,11.633743,6.3e-05,8.1e-05,0.410414
10,44,online_static,0.002901,0.00291,11.519747,11.518982,8.6e-05,8.6e-05,0.0
10,44,online_static_3step,0.004093,0.004148,11.532075,11.529476,8.5e-05,8.5e-05,0.0
