dataset,planning_seed,w,L_static3,revisit_static3,newcov_static3,replans_static3,wall_static3,L_dyn3,revisit_dyn3,newcov_dyn3,replans_dyn3,wall_dyn3,Pdet_static3,RMST_static3,Pdet_dyn3,RMST_dyn3,horizon,T_static,T_dynamic,T_common,revisit_weight,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,victim_seed,sensor_seed,budget,size,dPdet,dRMST,dRMST_rel,dL
1,42,0.0,0.3746546769781494,0.9161849370710056,0.041681792100425,4143,85.16422973538283,0.3746546769781494,0.9161849370710056,0.041681792100425,4143,96.91938272549304,0.3743682154091811,6669.977747554168,0.3743682154091811,6669.977747554168,8531,8530,8530,8530,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.0,0.0,0.0,0.0
1,42,0.5,0.2293964173449919,0.9623667709788796,0.0190814665620572,4219,100.31287827156484,0.3691274594361109,0.9148992733502688,0.0421706851528742,3967,112.59770541253964,0.2292292057857737,7269.432917237908,0.3688016337052081,6734.613978532757,8677,8676,8501,8676,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.1395724279194344,534.8189387051516,0.06163638800335964,0.13973104209111903
1,42,1.0,0.0055075888318658,0.9993042001544912,0.0003454453903532,2839,63.73343279748224,0.3279578597473871,0.9307575927048808,0.0344332939096221,4026,113.19009913993068,0.0055062500208244,8477.297086962302,0.3278281661232911,6752.808049901559,8524,8479,8523,8523,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.3223219161024667,1724.4890370607436,0.2023098354130389,0.3224502709155213
1,43,0.0,0.3482206508592477,0.9101799604834546,0.0443165450776959,4185,89.50610933999997,0.3482333558450066,0.9101691596603754,0.0443224000843121,4179,103.46205850958358,0.3479237146560568,6777.131396437866,0.3479355041157075,6777.141373863797,8486,8485,8485,8485,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,1.178945965069067e-05,-0.00997742593062867,-1.175751346998429e-06,1.270498575889345e-05
1,43,0.5,0.2031748247550877,0.9689191588811814,0.0158846329496352,4919,116.62039787357207,0.3469037888909899,0.9244630269196196,0.0373929997540897,3905,112.32167056621984,0.2030537414984705,7501.372629451665,0.3467262244684453,6988.2640362770235,8800,8799,8496,8799,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.1436724829699748,513.1085931746411,0.058307794678936486,0.1437289641359022
1,43,1.0,0.007716414863369,0.9991124755791236,0.0004654730259845,3981,89.7472548353253,0.3448236897590946,0.9242439465487792,0.0375247374029532,3909,111.01614464982411,0.0077146171966155,8889.326603271033,0.3445930997583205,6976.320367368376,8958,8957,8496,8957,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.336878482561705,1913.006235902657,0.213552828299024,0.3371072748957256
1,44,0.0,0.3247358184296938,0.9278386542676064,0.0356657728023232,4088,84.32959848328028,0.3247358184296938,0.9278386542676064,0.0356657728023232,4088,97.15256007236894,0.3244645362340272,6865.758953890252,0.3244645362340272,6865.758953890252,8500,8499,8499,8499,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.0,0.0,0.0,0.0
1,44,0.5,0.2361727606143402,0.9610955834796268,0.0197225897865264,4234,100.6340272682719,0.3546000838515057,0.9207940100580913,0.0392373268381793,4035,115.4334381412482,0.2360285632451746,7209.027151718776,0.3543669518850356,6966.150879575487,8676,8675,8502,8675,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.11833838863986099,242.8762721432886,0.02799403782195581,0.11842732323716551
1,44,1.0,0.0069962136960979,0.9991981757075672,0.0004127779664391,3900,86.80527570878621,0.3574984075687428,0.9168713250053132,0.0412221740810567,3955,111.40680620085914,0.0069932437987725,8731.897600821652,0.3571571978936093,6907.077945030849,8793,8792,8504,8792,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,0.3501639540948368,1824.8196557908032,0.2075309514148531,0.3505021938726449
1,45,0.0,0.314129381649808,0.9297174187103066,0.0346001615981826,4215,86.18504097103141,0.3141788277981478,0.929708356868924,0.0346089441081068,4226,99.65265381429344,0.3139752922082798,6940.821194821617,0.3140181711592265,6940.834459082777,8473,8471,8472,8472,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b3-operational_20260825_130210_101492_c372f280,c372f2809deaf53f8be3bdb53f4495cea2a819857d704837db6d22d4ce9a26a4,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_stationary_exact,0.8,10000.0,,,200000.0,xlarge,4.287895094667871e-05,-0.013264261160657043,-1.5654739951206235e-06,4.944614833979344e-05
