dataset,planning_seed,victim_seed,sensor_seed,w,L_static3,L_dyn3,Pdet_static3,RMST_static3,Pdet_dyn3,RMST_dyn3,T_static,T_dynamic,T_common,horizon,revisit_weight,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,budget,size
1,42,25214903879,22562971646,0.0,0.3746546769781494,0.3746546769781494,0.0,8531.0,0.0,8531.0,8530,8530,8530,8531,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,42,25214903879,22562971646,0.5,0.22939641734499197,0.36912745943611097,0.0,8677.0,0.0,8677.0,8676,8501,8676,8677,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,42,25214903879,22562971646,1.0,0.0055075888318658105,0.32795785974738717,0.0,8524.0,0.0,8524.0,8479,8523,8523,8524,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,43,25214903878,22562971647,0.0,0.34822065085924775,0.34823335584500664,0.0,8486.0,0.0,8486.0,8485,8485,8485,8486,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,43,25214903878,22562971647,0.5,0.20317482475508775,0.3469037888909899,0.0,8800.0,0.0,8800.0,8799,8496,8799,8800,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,43,25214903878,22562971647,1.0,0.007716414863369066,0.3448236897590946,0.0,8958.0,0.9999998976,7706.25012715521,8957,8496,8957,8958,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,44,25214903873,22562971640,0.0,0.32473581842969385,0.32473581842969385,0.0,8500.0,0.0,8500.0,8499,8499,8499,8500,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,44,25214903873,22562971640,0.5,0.23617276061434028,0.35460008385150577,0.0,8676.0,0.0,8676.0,8675,8502,8675,8676,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,44,25214903873,22562971640,1.0,0.006996213696097983,0.35749840756874285,0.0,8793.0,0.0,8793.0,8792,8504,8792,8793,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,45,25214903872,22562971641,0.0,0.314129381649808,0.3141788277981478,0.0,8473.0,0.0,8473.0,8471,8472,8472,8473,0.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,45,25214903872,22562971641,0.5,0.15117452602681275,0.3623940635953106,0.0,8670.0,0.0,8670.0,8669,8508,8669,8670,0.5,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
1,45,25214903872,22562971641,1.0,0.006510230634558547,0.3477558212536762,0.0,8959.0,0.0,8959.0,8958,8508,8958,8959,1.0,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b4-moving_20260825_220837_932975_cf3e8bd4,cf3e8bd4f590e54ea1c9ada123b29e903824317f2a4f17d4e44a13afc0a44817,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0,1,random_walk,random_walk,matched_prior_random_walk,0.8,10000.0,200000.0,xlarge
