dataset,planning_seed,L_os,L_os3,L_dyn,L_dyn3,implementation_version,git_commit,experiment_id,config_hash,source_hash,belief_model,planning_mode,revisit_weight,simulation_num_victims,evaluation_num_victims,victim_model,simulation_victim_model,victim_sampling_model,detection_probability,decay_tau,victim_seed,sensor_seed,budget,size,D1_B,D3_B,I_B,H_S_B,H_D_B
1,42,0.1265945508800108,0.2293964173449919,0.2850695126171478,0.3691274594361109,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.15847496173713702,0.13973104209111903,-0.018743919646017987,0.1028018664649811,0.08405794681896311
1,43,0.0697877266172763,0.2031748247550877,0.3187006345161883,0.3469037888909899,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.24891290789891202,0.1437289641359022,-0.10518394376300982,0.1333870981378114,0.028203154374801587
1,44,0.1151770018441195,0.2361727606143402,0.3302742651124479,0.3546000838515057,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.2150972632683284,0.11842732323716551,-0.09666994003116289,0.1209957587702207,0.024325818739057814
1,45,0.2046768870394393,0.1511745260268127,0.2934898327402451,0.3623940635953106,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.0888129457008058,0.21121953756849793,0.12240659186769212,-0.05350236101262659,0.06890423085506553
1,46,0.0701195177536103,0.2557455837397967,0.3327725004168034,0.3237583279015717,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.2626529826631931,0.068012744161775,-0.1946402385014181,0.18562606598618642,-0.009014172515231678
1,47,0.1930996624186554,0.235360676658005,0.3061336422497854,0.3511567331036928,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.11303397983113,0.11579605644568777,0.002762076614557768,0.04226101423934961,0.04502309085390738
1,48,0.0702697381150366,0.3089269027049688,0.266294679108221,0.353430746939526,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1960249409931844,0.044503844234557166,-0.15152109675862724,0.2386571645899322,0.08713606783130495
1,49,0.144842561186025,0.2231714844061398,0.2512561883640338,0.3684785978099588,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.10641362717800879,0.145307113403819,0.03889348622581021,0.07832892322011478,0.11722240944592499
1,50,0.2184837376371975,0.2665890215865684,0.2359119613180246,0.3450022055526937,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.01742822368082711,0.07841318396612529,0.06098496028529818,0.048105283949370886,0.10909024423466906
1,51,0.1354802403302038,0.2207034878299234,0.2809029392214704,0.3649098547220396,revision_B@ff544e3dab27,ff544e3dab270c9412bea847c1119b0311242e63,b5-contrasts_20260825_153608_604640_b5b93fdc,b5b93fdc655e4ae53a3edeb7713100a5719263d98438f703238f4438fc509f05,cef0d7e99cf98289cf781ea358600304c52099759ac7cef6c0a3cc8b44b6bdc2,evidence,,0.5,0,1,random_walk,random_walk,none_planning_only,0.8,10000.0,,,200000.0,xlarge,0.1454226988912666,0.14420636689211616,-0.001216331999150444,0.0852232474997196,0.08400691550056916
