dataset,mean_dPdet,mean_dRMST_rel,mean_dPdet_at_fault,mean_dPostFaultGain,mean_dRetention
1,0.04041147840673095,0.024313152371421964,0.03298741374811208,0.007424064658618899,0.01310342415913197
2,0.007344228205512893,0.005389932653266393,0.01103457828623999,-0.003690350080727091,0.01912492158250334
3,-0.03239285800395454,-0.01276219188704503,-0.005007816217847519,-0.02738504178610699,-0.01642303208858602
4,0.0056470887696144275,-0.0015381618642100585,0.0028115396607442137,0.002835549108870218,0.01695170285986841
5,-0.00194049860299004,-0.0017800710732530662,0.005234177812016449,-0.007174676415006501,0.02289610150264587
6,-0.010235589630092115,-0.00940360105434467,-0.003787115310351799,-0.00644847431974033,0.0024158295833272116
7,-0.06788009586744748,-0.04389999363219101,-0.04752017033261462,-0.020359925534832853,0.04437826302166249
8,0.015231575107313492,0.014823568693050005,0.017296819340339088,-0.002065244233025558,0.00880699312482629
9,-0.03987037345997872,-0.02170633194405504,-0.014750987626239217,-0.025119385833739495,0.014951431963659301
10,0.07690769137810771,0.054326045898024665,0.053970366617405764,0.02293732476070192,-0.008883582752820163
11,-0.031069607044450182,-0.01860596183959199,-0.006126906891005019,-0.024942700153445168,0.012473893195728936
12,-0.01976819767046069,-0.013033383576892151,-0.000918105516534104,-0.018850092153926613,0.029550438998169636
13,0.008608111382560835,0.0007553452423530709,0.008963707589232822,-0.000355596206671982,0.0196590535943025
14,0.054151191967556925,0.03937675207477065,0.05033179790294555,0.0038193940646113313,0.0020751665409574293
15,0.03838982013288161,0.021320899673719328,0.024515749011730387,0.013874071121151205,0.016481178208089087
20,0.005027493418294835,0.006461018305952122,0.012986019300777401,-0.007958525882482581,0.002805344532123666
25,-0.011895307960590882,-0.008388092269770216,-0.0057439057479548895,-0.006151402212636002,0.02641259240557504
30,0.02128578650292013,0.019669955065702207,0.03058673051257233,-0.00930094400965219,0.030002010904785225
