dataset,planning_seed,dPdet,dRMST_rel,dretention,dL,dPostFaultGain,deadhead_total,deadhead_fraction_remaining_budget,assignment_cost,route_length_after_replan,task_splits,empty_sectors,prefix_removed_total,suffix_removed_total,search_inactive_count,remaining_budget_at_failure,postfault_eff_replan,postfault_eff_fixed,postfault_mass_replan,postfault_mass_fixed,postfault_dist_replan,postfault_dist_fixed,termination,budget_utilization,unused_budget
1,42,-0.05080325725057,-0.02064967123486063,-0.15792179925658612,-0.050976217009373215,-0.05080325725057,2561.6889710246414,0.02561751739769291,2561.6889710246414,4639490.1356358705,0,0,4947,0,0,99997.54977253747,6.193946101962368e-07,1.129230628141342e-06,0.061945615408526306,0.11292183241789952,100009.93613570624,99998.91041191763,budget_exhausted,1.000061931815834,-12.386363166762749
1,43,-0.08989531731823999,-0.03504776818379186,-0.2794458454117186,-0.090127887968526,-0.0898953173182401,2866.7182454167773,0.02867282686546935,2866.7182454167773,4660028.572578186,0,0,2993,0,0,99980.3144233805,4.687960391833844e-07,1.3700022382048705e-06,0.0468719893212978,0.1369998772898229,99983.75712163886,99999.74705832262,budget_exhausted,1.000017213491288,-3.4426982575678267
1,44,-0.05137773390673417,-0.02170737303731621,-0.15970629938068914,-0.05151041251701233,-0.05137773390673418,2463.7724032634396,0.024638319843592788,2463.7724032634396,4619409.775579682,0,0,6856,0,0,99997.5817711509,8.537944623224383e-07,1.368940458588963e-06,0.08539360670781529,0.13690401922482762,100016.58534482987,100007.28546363632,budget_exhausted,1.000095017868383,-19.003573676600354
1,45,-0.036854613021328586,-0.015704109363405903,-0.11458762727283867,-0.0369428197764341,-0.0368546130213285,974.4184664327552,0.009744384941111841,974.4184664327552,4618014.771734245,0,0,6994,0,0,99997.94469547848,9.99087652829465e-07,1.3685658395128367e-06,0.09991493226629197,0.13685775204272602,100006.17261491322,100000.85351497796,budget_exhausted,1.0000411395971704,-8.227919434080832
1,46,-0.06730299335512568,-0.026349300503530505,-0.20913200679970345,-0.06745205377093072,-0.0673029933551257,3427.422568090053,0.03428265087846496,3427.422568090053,4639988.51045573,0,0,4898,0,0,99975.42431128124,6.944869912377343e-07,1.3691382773907191e-06,0.0694409895402896,0.13689304331122032,99988.89887991986,99984.81933622425,budget_exhausted,1.0000673728431952,-13.474568639067002
1,47,-0.083693611731291,-0.03163909807501424,-0.2602290619279425,-0.08393755486274049,-0.083693611731291,3069.3366364015255,0.030694081344962067,3069.3366364015255,4660099.0939622205,0,0,2986,0,0,99997.67062275368,4.6622543561652947e-07,1.3055376594714638e-06,0.04662285594784307,0.13056041081058267,100000.67003249128,100005.08975240054,budget_exhausted,1.0000149970486998,-2.9994097400049213
1,48,-0.0897949416171055,-0.036452505189341455,-0.2791991102938124,-0.09002132397190238,-0.0897949416171055,2876.941383831438,0.02877007485735815,2876.941383831438,4660068.87051192,0,0,2989,0,0,99997.70240763346,4.6863969498865627e-07,1.3687533104955526e-06,0.0468634696786869,0.1368847936505884,99998.93346597809,100006.9132991026,budget_exhausted,1.0000061552917148,-1.2310583429643884
1,49,-0.05630554637098523,-0.023337899684813816,-0.1750080766633051,-0.056491741207507495,-0.056305546370985296,2311.630081432113,0.0231170077271321,2311.630081432113,4639490.135635871,0,0,4947,0,0,99996.94202286335,6.228234549928841e-07,1.1876759548122994e-06,0.062290038941535314,0.11878178014904281,100012.35252491734,100011.94321376584,budget_exhausted,1.000077052510252,-15.410502050392097
1,50,-0.06913155563098719,-0.027035117850839032,-0.21498365031506605,-0.06934174766795032,-0.0691315556309872,4691.380246261624,0.04692399650187933,4691.380246261624,4660099.0939622205,0,0,2986,0,0,99978.27542404093,4.533934834976858e-07,1.1469837462014379e-06,0.045336962446106494,0.11467871011405611,99994.73767544323,99982.8554622916,budget_exhausted,1.000082311257011,-16.46225140214665
1,51,-0.017200207388111066,-0.00919051548267318,-0.053463183652404656,-0.017294291900083525,-0.017200207388110997,3574.088243400087,0.035748373553177025,3574.088243400087,4618004.697250811,0,0,6995,0,0,99979.04486713216,9.742870023373995e-07,1.147078992153431e-06,0.0974112004718358,0.11470549237191932,99982.03839129316,99997.90176313905,budget_exhausted,1.000014967620776,-2.9935241552302614
