dataset,condition_id,mean_dPdet,mean_dRMST_rel,mean_dL,n
1,nominal,0.1361450422934758,0.052247164931777015,0.13626231781203252,5
1,pd_060,0.13288000224682645,0.06060036785327283,0.13351511487463125,5
1,pd_095,0.12733879117578767,0.052194737603622886,0.1273456859098346,5
1,tau_128000,0.13617980090988874,0.05540573956543847,0.13627394372682886,5
1,tau_2000,0.12184628267600477,0.04779815136406431,0.1219077766329069,5
1,tau_32000,0.12079310494958487,0.04655492723774124,0.1208846310307039,5
1,w_0,4.047211591085009e-07,-6.897297018463594e-07,1.8174521714708902e-06,5
1,w_025,0.08621261313874215,0.04026563161374801,0.0862783735999776,5
1,w_075,0.3127696560800679,0.1877319271334705,0.3130800308591729,5
1,w_1,0.34339748796670877,0.21268981332322406,0.34375585387145,5
7,nominal,0.11742118920616602,0.05418160179695044,0.11757752143963615,5
7,pd_060,0.11959229093951743,0.05279831754273221,0.12073850554501445,5
7,pd_095,0.10653088460463825,0.052320441737738865,0.1065356870876438,5
7,tau_128000,0.11223764775372969,0.0529389456330947,0.11238875467400036,5
7,tau_2000,0.113462429831094,0.056689386033992165,0.113618309852665,5
7,tau_32000,0.1119478377378895,0.052897483986115226,0.1121029368543455,5
7,w_0,0.0,0.0,0.0,5
7,w_025,-0.023087972698900734,-0.010603065684023999,-0.023095929650833107,5
7,w_075,0.1543260878255104,0.07777752965935053,0.15452934566879026,5
7,w_1,0.16052113208732446,0.09270357987103048,0.16070564971500106,5
10,nominal,0.14784457316077498,0.07147718386686075,0.14793116079366422,5
10,pd_060,0.1520270189518031,0.07142671654256313,0.1527203912584316,5
10,pd_095,0.15124047201212623,0.07311184170692617,0.15124741908753894,5
10,tau_128000,0.1758670094164036,0.08095690564516127,0.17600838321965656,5
10,tau_2000,0.14402770535329062,0.069404281588891,0.14411812000160198,5
10,tau_32000,0.16343059389973372,0.07706824043777476,0.1635556526284107,5
10,w_0,0.0,0.0,0.0,5
10,w_025,0.11938949666668223,0.04934331164193699,0.1194595837018563,5
10,w_075,0.16956981279689476,0.09288878267439513,0.1696696497300009,5
10,w_1,0.286895235628788,0.19293274804000188,0.28711735210911205,5
