dataset,planning_seed,planning_mode,w,p_d,tau,P_detect,RMST,L,exposure_multiplicity,revisit_fraction,observed_cells,T,H,T_common,H_common,actual_distance_total,planner_wall_time,number_of_replans,initial_positions,initial_positions_hash,trajectory_hash,simulation_victim_model,evaluation_victim_model,victim_sampling_model,evaluation_num_victims,simulation_num_victims,condition_key,condition_key_hash,condition_id,curve,victim_seed,sensor_seed,failure_seed,distribution_seed,implementation_version,git_commit,source_hash,experiment_id,config_hash,belief_model,fix_profile,behavior_profile,num_drones,budget,size,fov_deg,altitude,drone_speed,victim_speed,dt
1,42,online_static_3step,0.0,0.8,10000.0,0.3743682154091811,6669.977747554168,0.3747602757659069,11.931029638994241,0.9161849370710056,14238,8530,8531,8530,8531,200017.7073808479,368.94385364372283,4143,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,1c3bcf020f24690a1d6f5f2928b7bc6ad3355508f4460932a574b2ce815c7d33,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""w_0"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",80b02168b0975833d2c36bd6a41894c825064836584f37bc644dbaac89ab91cc,w_0,w,884212830,1175905467,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.0,0.8,10000.0,0.3743682154091811,6669.977747554168,0.3747602757659069,11.931029638994241,0.9161849370710056,14238,8530,8531,8530,8531,200017.7073808479,405.1393801853992,4143,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,1c3bcf020f24690a1d6f5f2928b7bc6ad3355508f4460932a574b2ce815c7d33,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""w_0"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",80b02168b0975833d2c36bd6a41894c825064836584f37bc644dbaac89ab91cc,w_0,w,884212830,1175905467,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,0.25,0.8,10000.0,0.20026598176109706,7411.971910896854,0.20049635247644298,32.68262108262108,0.9694026988388716,5265,8617,8618,8617,8618,200011.45467623015,369.40701403142884,3782,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,7d93208481efc12d7bb69512945e800afb261618b8148a27905bba4c59d14135,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""w_025"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",d3fe2ac77d42fbc7de79e9a302672c1a34fb85db107cd698d5b9495b5ed73325,w_025,w,3984343480,806800987,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.25,0.8,10000.0,0.37069911990544235,6630.792959266438,0.37115447705654225,11.448016786246107,0.9126486256378117,14774,8497,8498,8617,8618,200009.24842835736,443.40518500865437,4043,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,e0525a80cd450ab836090637070329fa52b1ddff2214827fd99bb54c301944c7,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""w_025"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",d3fe2ac77d42fbc7de79e9a302672c1a34fb85db107cd698d5b9495b5ed73325,w_025,w,3984343480,806800987,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,0.5,0.8,10000.0,0.22922920578577377,7269.432917237908,0.22946107417453482,26.572261429886467,0.9623667709788797,6518,8676,8677,8676,8677,200022.46158781106,416.46579145803116,4219,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,999baefbe15b45509ad10352e98af31e681a65799212995e70486c1165857a61,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""nominal"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",33661ab33ce355b68312ce72c8f28ade62ec8305f639d3c5c5420d991c48f0d2,nominal,nominal,88413455,3057885363,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.5,0.8,10000.0,0.3688016337052081,6734.613978532757,0.3692315003426831,11.750780978826796,0.9148992733502688,14405,8501,8502,8676,8677,200005.17970534146,431.02524952590466,3967,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,e0670cd592efa42f2c965d6a2b123d419255db52c175aaf2f6987ab78d7ef01c,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""nominal"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",33661ab33ce355b68312ce72c8f28ade62ec8305f639d3c5c5420d991c48f0d2,nominal,nominal,88413455,3057885363,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,0.75,0.8,10000.0,0.03982896347937768,8918.356099133409,0.039861007121839535,241.50260416666666,0.995859257901377,768,9276,9277,9276,9277,200006.369573754,626.3165400286671,6491,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,5012db8acf34c83100310be145501835f1c81c554ed74b016138a868a86589dd,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""w_075"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",dd16bccb6fb666ed0827b0b565b90295f086cf20694f1dd0b5c1942221a74648,w_075,w,3038995481,3909684640,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.75,0.8,10000.0,0.3598041834347885,7154.399235262243,0.3601518450700308,12.147223017463498,0.9176766575733115,13972,8520,8521,9276,9277,200013.4571900572,430.87583843269385,4022,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,a36522828bf79eb9ef28eeb53c52527b9c19dec9c346b919a230e57783c6a774,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""w_075"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",dd16bccb6fb666ed0827b0b565b90295f086cf20694f1dd0b5c1942221a74648,w_075,w,3038995481,3909684640,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,1.0,0.8,10000.0,0.005506250020824484,8477.297086962302,0.005509141180574728,1437.1949152542372,0.9993042001544912,118,8479,8480,8523,8524,200000.1957219578,269.9848854437005,2839,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,8351269a872a020f7e2c292f6bf3dc6ec3754dc49d5b0858d08831d5d6a70d4d,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""w_1"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",a7560dbaa977cea1795a4b0bd3ba265a0712530b452662170ae9efd74531b738,w_1,w,1389142405,3447224912,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,1.0,0.8,10000.0,0.32782816612329113,6752.808049901559,0.32805029674217867,14.442016663832682,0.9307575927048809,11762,8523,8524,8523,8524,200006.85135235795,440.5648382694926,4026,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,4b395a0e16b47280e26b69901fce0fc71cba159f5c639350c7e313a60481df03,none,stationary,matched_prior_exact,1,0,"{""condition_id"":""w_1"",""evaluation"":""stationary"",""stage"":""c1-sensitivity""}",a7560dbaa977cea1795a4b0bd3ba265a0712530b452662170ae9efd74531b738,w_1,w,1389142405,3447224912,none,none,revision_C_base@f0684f8459a1,f0684f8459a1f1424f630778b2c606434d0bce08,27784880a3418d09b46f5afe2a7042757968dd5494a542fdab85e6a06fc60fb2,c1-sensitivity_20260826_073133_703049_c676526b,c676526b916d560a4651031b0ad6002a640325534681ef2670109fbd500a6bef,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
