dataset,condition_id,curve,dPdet_n,dPdet_mean,dPdet_sd,dPdet_se,dPdet_ci_lo,dPdet_ci_hi,dPdet_favorable_count,dPdet_n_total,dPdet_tost_p_lower,dPdet_tost_p_upper,dPdet_tost_p_max,dPdet_equivalent,dRMST_rel_n,dRMST_rel_mean,dRMST_rel_sd,dRMST_rel_se,dRMST_rel_ci_lo,dRMST_rel_ci_hi,dRMST_rel_favorable_count,dRMST_rel_n_total,dRMST_rel_tost_p_lower,dRMST_rel_tost_p_upper,dRMST_rel_tost_p_max,dRMST_rel_equivalent,state
1,nominal,nominal,5,0.13614504229347577,0.05157133351034074,0.02306340148388695,0.07211077413432632,0.20017931045262521,5,5,0.0015878346971704943,0.9972819460925897,0.9972819460925897,False,5,0.052247164931777015,0.027306535317986595,0.012211853840203372,0.01834162311175349,0.08615270675180053,5,5,0.002043907220713311,0.9712292114947042,0.9712292114947042,False,IMPROVEMENT
1,pd_060,p_d,5,0.13288000224682642,0.037696078736725314,0.01685819890810044,0.08607413840598016,0.17968586608767267,5,5,0.0005311433443941597,0.9990584990728575,0.9990584990728575,False,5,0.06060036785327283,0.015549017937999588,0.006953732218546138,0.041293712072234215,0.07990702363431144,5,5,0.0001582691292404442,0.9978552356639537,0.9978552356639537,False,IMPROVEMENT
1,pd_095,p_d,5,0.12733879117578767,0.04191086836152998,0.018743110130485255,0.07529957479781871,0.17937800755375663,5,5,0.0009230519193838423,0.9983395122945118,0.9983395122945118,False,5,0.052194737603622886,0.02225331589068198,0.009951985411268236,0.024563596421507343,0.07982587878573844,5,5,0.0009585834317232064,0.9840879333218553,0.9840879333218553,False,IMPROVEMENT
1,tau_128000,tau,5,0.13617980090988874,0.056376973146699226,0.025212548864339938,0.06617854302593193,0.20618105879384555,5,5,0.0022002335972575128,0.9962670601859317,0.9962670601859317,False,5,0.05540573956543848,0.032222441384908235,0.014410313867531456,0.015396294163566887,0.09541518496731008,5,5,0.0031858279168744566,0.9650406414270546,0.9650406414270546,False,IMPROVEMENT
1,tau_2000,tau,5,0.12184628267600475,0.04772446737447725,0.021343030647860407,0.06258852970366624,0.18110403564834326,5,5,0.0017441034906362307,0.996830760327964,0.996830760327964,False,5,0.047798151364064304,0.02834004260568986,0.012674052350312558,0.012609340753018408,0.0829869619751102,5,5,0.0029440720418753993,0.9533268050086097,0.9533268050086097,False,IMPROVEMENT
1,tau_32000,tau,5,0.12079310494958487,0.0572155209567695,0.02558755884548008,0.049750652439091186,0.19183555746007855,5,5,0.0034632499557024038,0.993824949341906,0.993824949341906,False,5,0.04655492723774124,0.031205272961986656,0.013955422319887674,0.007808463246721069,0.0853013912287614,5,5,0.004422928119574868,0.9350934729751554,0.9350934729751554,False,IMPROVEMENT
1,w_0,w,5,4.047211591085009e-07,3.4453781612733165e-05,1.5408199553600737e-05,-4.237529907139709e-05,4.3184741389614094e-05,2,5,1.690641998276451e-11,1.6911894734406466e-11,1.6911894734406466e-11,True,5,-6.897297018463594e-07,6.990908897793678e-07,3.1264295039949587e-07,-1.5577656911576363e-06,1.7830628746491742e-07,0,5,1.7916606005738825e-19,1.791166364142396e-19,1.7916606005738825e-19,True,EQUIVALENT
1,w_025,w,5,0.08621261313874215,0.06058125339706874,0.027092760151597152,0.010991051829542409,0.1614341744479419,5,5,0.011886163065010067,0.9759157708032145,0.9759157708032145,False,5,0.04026563161374801,0.03488778616629231,0.015602292290461277,-0.003053276445968471,0.08358453967346449,5,5,0.009053453367641134,0.8681013210654599,0.8681013210654599,False,IMPROVEMENT
1,w_075,w,5,0.3127696560800679,0.011558962821239232,0.0051693253235367345,0.2984173080883593,0.3271220040717765,5,5,1.9703512122663354e-07,0.9999997455726427,0.9999997455726427,False,5,0.1877319271334705,0.011807172940030815,0.00528032826320099,0.17307138557326857,0.20239246869367244,5,5,1.2470490556909841e-06,0.9999970728964699,0.9999970728964699,False,IMPROVEMENT
1,w_1,w,5,0.34339748796670877,0.01642157630567689,0.007343952183438678,0.3230074078741938,0.36378756805922374,5,5,5.578757512514622e-07,0.9999992959754809,0.9999992959754809,False,5,0.2126898133232241,0.00817129881169593,0.0036543159214830704,0.20254380577017606,0.22283582087627213,5,5,1.8218909633217863e-07,0.9999996128582759,0.9999996128582759,False,IMPROVEMENT
