dataset,condition_id,mean_dPdet,mean_dRMST_rel,mean_dL,n
1,alpha_0,0.1208844820052346,0.049933756963630775,0.12096870379971172,10
1,alpha_0.25,0.09549156993708377,0.039270201011890396,0.12096870379971172,10
1,alpha_0.5,0.0700986578689329,0.028606645060133024,0.12096870379971172,10
1,alpha_0.75,0.04470574580078205,0.017943089108367193,0.12096870379971172,10
7,alpha_0,0.11738373924920795,0.050961303483347466,0.11754017034634026,10
7,alpha_0.25,0.09627690764472516,0.041548523178447525,0.11754017034634026,10
7,alpha_0.5,0.07517007604024233,0.03213574287354636,0.11754017034634026,10
7,alpha_0.75,0.05406324443575951,0.02272296256864246,0.11754017034634026,10
10,alpha_0,0.15302681348279873,0.07361107485212451,0.1531204132626543,10
10,alpha_0.25,0.12150947749221068,0.058154234457195086,0.1531204132626543,10
10,alpha_0.5,0.08999214150162263,0.04269739406235622,0.1531204132626543,10
10,alpha_0.75,0.05847480551103461,0.02724055366742344,0.1531204132626543,10
