dataset,condition_id,dPdet_n,dPdet_mean,dPdet_sd,dPdet_se,dPdet_ci_lo,dPdet_ci_hi,dPdet_favorable_count,dPdet_n_total,dPdet_tost_p_lower,dPdet_tost_p_upper,dPdet_tost_p_max,dPdet_equivalent,dRMST_rel_n,dRMST_rel_mean,dRMST_rel_sd,dRMST_rel_se,dRMST_rel_ci_lo,dRMST_rel_ci_hi,dRMST_rel_favorable_count,dRMST_rel_n_total,dRMST_rel_tost_p_lower,dRMST_rel_tost_p_upper,dRMST_rel_tost_p_max,dRMST_rel_equivalent,state
1,alpha_0,10,0.1208844820052346,0.04782747321365971,0.015124375008585766,0.08667076874671614,0.15509819526375307,10,10,5.876990011172457e-06,0.9999779327246889,0.9999779327246889,False,10,0.04993375696363077,0.024830589416881908,0.007852121820181903,0.03217102334494219,0.06769649058231934,10,10,4.650024558704613e-06,0.9979303934715946,0.9979303934715946,False,IMPROVEMENT
1,alpha_0.25,10,0.09549156993708377,0.03752109220621535,0.011865211166883268,0.06865059750780554,0.122332542366362,10,10,4.716714959938393e-06,0.9999747273556251,0.9999747273556251,False,10,0.039270201011890396,0.01936704256104216,0.006124396603431382,0.0254158533676211,0.05312454865615969,10,10,2.3483533295759005e-06,0.9940977414198158,0.9940977414198158,False,IMPROVEMENT
1,alpha_0.5,10,0.0700986578689329,0.02721872137215207,0.00860731545335041,0.0506275575636726,0.08956975817419321,10,10,3.245155025441024e-06,0.9999677509243518,0.9999677509243518,False,10,0.028606645060133024,0.013906247031305437,0.004397541432388003,0.018658715210154626,0.038554574910111425,10,10,7.728975417493648e-07,0.9589903466964287,0.9589903466964287,False,IMPROVEMENT
1,alpha_0.75,10,0.04470574580078205,0.016927684199734647,0.005353003758320612,0.032596410006411364,0.056815081595152736,10,10,1.4927145975157575e-06,0.9999431884233583,0.9999431884233583,False,10,0.017943089108367193,0.008453536395890639,0.002673242929414528,0.011895793467692463,0.023990384749041922,10,10,9.105842204328823e-08,0.2306727880756447,0.2306727880756447,False,IMPROVEMENT
7,alpha_0,10,0.11738373924920795,0.030422117582227494,0.009620318280529366,0.09562106734250993,0.13914641115590595,10,10,1.6578743117277567e-07,0.9999992885809444,0.9999992885809444,False,10,0.050961303483347466,0.019503651293368646,0.006167596077673378,0.03700923183899252,0.06491337512770241,10,10,5.505205462578953e-07,0.9996404529625882,0.9996404529625882,False,IMPROVEMENT
7,alpha_0.25,10,0.09627690764472516,0.0239076068742192,0.007560249112643134,0.07917443596202071,0.1133793793274296,10,10,9.898335079936754e-08,0.999999410023401,0.999999410023401,False,10,0.041548523178447525,0.015488830164415919,0.004897998161107458,0.030468481554925854,0.052628564801969195,10,10,2.5973432067990986e-07,0.9991391299682494,0.9991391299682494,False,IMPROVEMENT
7,alpha_0.5,10,0.07517007604024233,0.017458701603071156,0.005520926205493778,0.06268087327920427,0.08765927880128038,10,10,4.419756788091963e-08,0.9999995571431187,0.9999995571431187,False,10,0.03213574287354636,0.011482673570290161,0.003631140211033446,0.023921533036032467,0.04034995271106026,10,10,8.242638716161084e-08,0.9956845603053287,0.9956845603053287,False,IMPROVEMENT
7,alpha_0.75,10,0.05406324443575951,0.011189415705275846,0.0035384039315131018,0.04605881863721382,0.0620676702343052,10,10,1.0901730675793066e-08,0.9999997193604977,0.9999997193604977,False,10,0.022722962568642455,0.007499080687139803,0.0023714175328742337,0.01735844341066576,0.02808748172661915,10,10,1.1385628290186045e-08,0.8597642662933402,0.8597642662933402,False,IMPROVEMENT
10,alpha_0,10,0.15302681348279873,0.022657396523243417,0.007164897886302936,0.13681868840858083,0.16923493855701663,10,10,1.4513632912305263e-09,0.9999999953837706,0.9999999953837706,False,10,0.07361107485212451,0.010585208288586282,0.003347336769922556,0.06603887300174639,0.08118327670250262,10,10,2.321990046704784e-10,0.9999999681167178,0.9999999681167178,False,IMPROVEMENT
10,alpha_0.25,10,0.12150947749221068,0.01760752708828816,0.005567988956210323,0.1089138113925382,0.13410514359188316,10,10,1.0424967793117485e-09,0.9999999955137124,0.9999999955137124,False,10,0.0581542344571951,0.008219187220344384,0.0025991352131636484,0.05227458211765591,0.06403388679673429,10,10,1.2165487628358381e-10,0.9999999319700374,0.9999999319700374,False,IMPROVEMENT
10,alpha_0.5,10,0.08999214150162264,0.012591711709077915,0.003981848864089769,0.08098457357254207,0.09899970943070321,10,10,6.04966708578579e-10,0.9999999956349775,0.9999999956349775,False,10,0.04269739406235622,0.005862350135021923,0.0018538378868064908,0.03850372140805022,0.04689106671666221,10,10,4.259078721554273e-11,0.999999675607656,0.999999675607656,False,IMPROVEMENT
10,alpha_0.75,10,0.0584748055110346,0.007676991468711371,0.0024276778618809204,0.05298301664681405,0.06396659437525516,10,10,2.151769207455029e-10,0.9999999953947777,0.9999999953947777,False,10,0.02724055366742344,0.0035331241333788365,0.001117271951758566,0.02471310891895927,0.02976799841588761,10,10,5.774497001836008e-12,0.999942999453385,0.999942999453385,False,IMPROVEMENT
