dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,alpha,w
1,42,alpha_0,online_static_3step,dynamic_3step,0.1395724279194343,0.06163638800335964,0.13977042616814828,8677.0,26.572261429886467,11.750780978826796,0.9623667709788797,0.9148992733502688,4219.0,3967.0,410.3893054977525,429.3568546148017,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,0.0,0.5
1,42,alpha_0.25,online_static_3step,dynamic_3step,0.11044363316607123,0.048397492820376885,0.13977042616814828,8677.0,26.572261429886467,11.750780978826796,0.9623667709788797,0.9148992733502688,4219.0,3967.0,410.3893054977525,429.3568546148017,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,0.25,0.5
1,42,alpha_0.5,online_static_3step,dynamic_3step,0.08131483841270812,0.03515859763741112,0.13977042616814828,8677.0,26.572261429886467,11.750780978826796,0.9623667709788797,0.9148992733502688,4219.0,3967.0,410.3893054977525,429.3568546148017,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,0.5,0.5
1,42,alpha_0.75,online_static_3step,dynamic_3step,0.052186043659344955,0.021919702454389164,0.13977042616814828,8677.0,26.572261429886467,11.750780978826796,0.9623667709788797,0.9148992733502688,4219.0,3967.0,410.3893054977525,429.3568546148017,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,0.75,0.5
1,43,alpha_0,online_static_3step,dynamic_3step,0.14367248296997479,0.058307794678936486,0.14376947505251764,8800.0,32.17416144489495,13.238550066546622,0.9689191588811814,0.9244630269196197,4919.0,3905.0,478.70528348488733,398.8919639592059,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,0.0,0.5
1,43,alpha_0.25,online_static_3step,dynamic_3step,0.1131252137815058,0.04588466253341546,0.14376947505251764,8800.0,32.17416144489495,13.238550066546622,0.9689191588811814,0.9244630269196197,4919.0,3905.0,478.70528348488733,398.8919639592059,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,0.25,0.5
1,43,alpha_0.5,online_static_3step,dynamic_3step,0.08257794459303676,0.03346153038770322,0.14376947505251764,8800.0,32.17416144489495,13.238550066546622,0.9689191588811814,0.9244630269196197,4919.0,3905.0,478.70528348488733,398.8919639592059,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,0.5,0.5
1,43,alpha_0.75,online_static_3step,dynamic_3step,0.05203067540456771,0.02103839824215935,0.14376947505251764,8800.0,32.17416144489495,13.238550066546622,0.9689191588811814,0.9244630269196197,4919.0,3905.0,478.70528348488733,398.8919639592059,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,0.75,0.5
1,44,alpha_0,online_static_3step,dynamic_3step,0.11833838863986101,0.02799403782195581,0.11846070272643969,8676.0,25.704022561971204,12.625307766917855,0.9610955834796268,0.9207940100580911,4234.0,4035.0,413.2793191373348,429.0732842669822,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,0.0,0.5
1,44,alpha_0.25,online_static_3step,dynamic_3step,0.09362655964038841,0.022434877994755804,0.11846070272643969,8676.0,25.704022561971204,12.625307766917855,0.9610955834796268,0.9207940100580911,4234.0,4035.0,413.2793191373348,429.0732842669822,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,0.25,0.5
