dataset,planning_seed,planning_mode,w,p_d,tau,P_detect,RMST,L,exposure_multiplicity,revisit_fraction,observed_cells,T,H,T_common,H_common,actual_distance_total,planner_wall_time,number_of_replans,initial_positions,initial_positions_hash,trajectory_hash,simulation_victim_model,evaluation_victim_model,victim_sampling_model,evaluation_num_victims,simulation_num_victims,condition_key,condition_key_hash,alpha,trajectory_reused,target_distribution_hash,valid_support_cells,zero_prior_cells_inside_domain,evaluation_distribution,evaluation_prior_source,effective_w,effective_p_d,effective_tau,alpha_condition_key,condition_id,implementation_version,git_commit,source_hash,experiment_id,config_hash,victim_seed,sensor_seed,distribution_seed,failure_seed,belief_model,fix_profile,behavior_profile,num_drones,budget,size,fov_deg,altitude,drone_speed,victim_speed,dt
1,49,online_static_3step,0.5,0.8,10000.0,0.22304104132884917,7291.285452863959,0.22323438669900544,27.639562911778885,0.9638199777908268,6223,8618,8619,8618,8619,200008.59743877704,402.7102649335284,4174,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,8b8b506f25276463adaefb0513aae2c6156dcb92c81c84bc243c3be40f166773,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.0,True,b9f46b97be95503c0417e3654e5e55ab32c1a95b6dad973b1c855dda71bea006,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.0,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,49,dynamic_3step,0.5,0.8,10000.0,0.36825213088207714,6699.238781638727,0.36858245583078203,11.591065056272303,0.9137266510760487,14572,8491,8492,8618,8619,200005.7995939236,426.27120195585303,4006,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,ed2cefcc4d675ef28583e4d054ef920a799101a16c6cbb83014eb3c50e5b7f35,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.0,True,b9f46b97be95503c0417e3654e5e55ab32c1a95b6dad973b1c855dda71bea006,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.0,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,49,online_static_3step,0.5,0.8,10000.0,0.17183118553633703,7598.7136356318215,0.22323438669900544,27.639562911778885,0.9638199777908268,6223,8618,8619,8618,8619,200008.59743877704,402.7102649335284,4174,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,8b8b506f25276463adaefb0513aae2c6156dcb92c81c84bc243c3be40f166773,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.25,True,0b80cbffc1774ff9bbfb3457bcff73fbfef6f7aee6026f77e51382d7fd425ccc,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.25,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0.25,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,49,dynamic_3step,0.5,0.8,10000.0,0.2868419022883377,7133.323799067953,0.36858245583078203,11.591065056272303,0.9137266510760487,14572,8491,8492,8618,8619,200005.7995939236,426.27120195585303,4006,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,ed2cefcc4d675ef28583e4d054ef920a799101a16c6cbb83014eb3c50e5b7f35,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.25,True,0b80cbffc1774ff9bbfb3457bcff73fbfef6f7aee6026f77e51382d7fd425ccc,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.25,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0.25,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,49,online_static_3step,0.5,0.8,10000.0,0.12062132974382488,7906.141818399215,0.22323438669900544,27.639562911778885,0.9638199777908268,6223,8618,8619,8618,8619,200008.59743877704,402.7102649335284,4174,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,8b8b506f25276463adaefb0513aae2c6156dcb92c81c84bc243c3be40f166773,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.5,True,087522b99af5dfc34a15ffa69022d1abd9bedb588c51dc51df44d81c45e91c1a,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.5,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0.5,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,49,dynamic_3step,0.5,0.8,10000.0,0.20543167369459836,7567.408816496717,0.36858245583078203,11.591065056272303,0.9137266510760487,14572,8491,8492,8618,8619,200005.7995939236,426.27120195585303,4006,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,ed2cefcc4d675ef28583e4d054ef920a799101a16c6cbb83014eb3c50e5b7f35,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.5,True,087522b99af5dfc34a15ffa69022d1abd9bedb588c51dc51df44d81c45e91c1a,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.5,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0.5,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,49,online_static_3step,0.5,0.8,10000.0,0.06941147395131271,8213.570001167098,0.22323438669900544,27.639562911778885,0.9638199777908268,6223,8618,8619,8618,8619,200008.59743877704,402.7102649335284,4174,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,8b8b506f25276463adaefb0513aae2c6156dcb92c81c84bc243c3be40f166773,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.75,True,1731c52b1cd175b96e3f3a32f8bb332e69004ddf90f9ba843987a66a0d48877c,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.75,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0.75,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,49,dynamic_3step,0.5,0.8,10000.0,0.12402144510085891,8001.493833926117,0.36858245583078203,11.591065056272303,0.9137266510760487,14572,8491,8492,8618,8619,200005.7995939236,426.27120195585303,4006,"[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,ed2cefcc4d675ef28583e4d054ef920a799101a16c6cbb83014eb3c50e5b7f35,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.75,True,1731c52b1cd175b96e3f3a32f8bb332e69004ddf90f9ba843987a66a0d48877c,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.75,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0.75,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,45,online_static_3step,0.5,0.8,10000.0,0.15108230152419047,7560.183042027886,0.15121713552208552,48.3993851313583,0.9793385804946498,3578,8669,8670,8669,8670,200017.23400304257,380.7250131140463,3929,"[[520594.86011050467,5662879.965744384],[520667.7347539138,5662822.443784041],[520571.91917911393,5662906.536769972],[520682.0505419891,5662838.300736998],[520591.23509777116,5662956.723982938]]",ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,57f64cab67d95fb323797b6f99e5c2399ca70ce0ed5ce10f00973a0411795f94,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.0,True,b9f46b97be95503c0417e3654e5e55ab32c1a95b6dad973b1c855dda71bea006,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.0,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,45,dynamic_3step,0.5,0.8,10000.0,0.36217056218730864,6779.484865222071,0.3624962066517237,12.180301941049605,0.9179002290058313,13910,8508,8509,8669,8670,200000.05829476897,426.69538342859596,3893,"[[520594.86011050467,5662879.965744384],[520667.7347539138,5662822.443784041],[520571.91917911393,5662906.536769972],[520682.0505419891,5662838.300736998],[520591.23509777116,5662956.723982938]]",ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,77fc062aad21d5c7b7e190751b19404242d07b25314255217fd149f4ba4563aa,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",23493243a5f6b095ea52693b5d393f86e1e58febdf4a3d27a620d765fec49176,0.0,True,b9f46b97be95503c0417e3654e5e55ab32c1a95b6dad973b1c855dda71bea006,341588,72519,Q_alpha,planner=P; endpoint=Q_alpha,0.5,0.8,10000.0,"{""alpha"":0.0,""p_d"":0.8,""stage"":""c2-mismatch"",""tau"":10000.0,""w"":0.5}",alpha_0,revision_C_base@7b52d9149fd5,7b52d9149fd569229bcf4dbdfab434edfabc2e03,7821c330697bd81d6d7c78669e14fc4e785ea7c98d4305a8f8d4a52af044ffbd,c2-mismatch_20260826_181638_227156_4f4ff330,4f4ff3304f262cb45b129b36796bb1faf7ceb8ecd717c2fd358f23f3a31673e0,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
