dataset,mobility_model,planning_seed,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,condition_id,w
1,lost_person,42,online_static_3step,dynamic_3step,0.0,0.0,0.13977042616814828,8677.0,0.0,0.0,0.9623667709788797,0.9148992733502688,4219.0,3967.0,410.82958395686,430.1583753717132,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,lost_person,0.5
1,lost_person,43,online_static_3step,dynamic_3step,0.0,0.0,0.14376947505251764,8800.0,0.0,0.0,0.9689191588811814,0.9244630269196197,4919.0,3905.0,475.32665898487903,401.49031538143754,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,lost_person,0.5
1,lost_person,44,online_static_3step,dynamic_3step,0.0,-0.06685108339381239,0.11846070272643969,8676.0,13.0,13.0,0.9610955834796268,0.9207940100580911,4234.0,4035.0,410.3330476991832,428.9959392347373,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,lost_person,0.5
1,lost_person,45,online_static_3step,dynamic_3step,0.0,0.0,0.2112790711296382,8670.0,0.0,0.0,0.9793385804946498,0.9179002290058313,3929.0,3893.0,377.24769028881565,425.14403006457724,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,lost_person,0.5
1,lost_person,46,online_static_3step,dynamic_3step,0.0,0.0,0.0680319139834189,8626.0,0.0,0.0,0.9556586119925149,0.9317159080199793,4148.0,4081.0,405.60362080391496,426.6779467004817,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,lost_person,0.5
1,lost_person,47,online_static_3step,dynamic_3step,0.0,0.0,0.11582869429579282,8943.0,0.0,0.0,0.9622836013222029,0.9229354119741978,4051.0,3984.0,395.17319930996746,429.2087112404406,2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,47,lost_person,0.5
1,lost_person,48,online_static_3step,dynamic_3step,-0.9984,-0.773244913892037,0.04451638792423157,8710.0,4.0,0.0,0.9378841910599784,0.9182498086096225,4320.0,4024.0,426.18222632049583,427.72867972170934,4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,48,lost_person,0.5
1,lost_person,49,online_static_3step,dynamic_3step,0.0,0.0,0.14534806913177659,8619.0,0.0,0.0,0.9638199777908268,0.9137266510760487,4174.0,4006.0,407.3463593048509,439.2204751141835,8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,49,lost_person,0.5
1,lost_person,50,online_static_3step,dynamic_3step,0.0,0.0,0.0784352852174387,8593.0,0.0,0.0,0.9517893079009537,0.9275089314712569,4166.0,4149.0,412.65137814427726,446.539369383594,0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,50,lost_person,0.5
1,lost_person,51,online_static_3step,dynamic_3step,0.0,0.0,0.1442470123677147,8976.0,0.0,0.0,0.9654852881249966,0.9159468379691679,3549.0,4061.0,349.88250438845716,437.64471153123304,6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,51,lost_person,0.5
1,random_walk,42,online_static_3step,dynamic_3step,0.992,0.32088509853642166,0.13977042616814828,8677.0,0.0,3.0,0.9623667709788797,0.9148992733502688,4219.0,3967.0,410.82958395686,430.1583753717132,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,random_walk,0.5
1,random_walk,43,online_static_3step,dynamic_3step,0.0,0.0,0.14376947505251764,8800.0,0.0,0.0,0.9689191588811814,0.9244630269196197,4919.0,3905.0,475.32665898487903,401.49031538143754,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,random_walk,0.5
1,random_walk,44,online_static_3step,dynamic_3step,0.999999995904,0.33595550808082975,0.11846070272643969,8676.0,0.0,12.0,0.9610955834796268,0.9207940100580911,4234.0,4035.0,410.3330476991832,428.9959392347373,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,random_walk,0.5
1,random_walk,45,online_static_3step,dynamic_3step,0.0,0.0,0.2112790711296382,8670.0,0.0,0.0,0.9793385804946498,0.9179002290058313,3929.0,3893.0,377.24769028881565,425.14403006457724,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,random_walk,0.5
1,random_walk,46,online_static_3step,dynamic_3step,0.0,0.0,0.0680319139834189,8626.0,0.0,0.0,0.9556586119925149,0.9317159080199793,4148.0,4081.0,405.60362080391496,426.6779467004817,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,random_walk,0.5
1,random_walk,47,online_static_3step,dynamic_3step,0.0,0.0,0.11582869429579282,8943.0,0.0,0.0,0.9622836013222029,0.9229354119741978,4051.0,3984.0,395.17319930996746,429.2087112404406,2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,47,random_walk,0.5
1,random_walk,48,online_static_3step,dynamic_3step,1.0,0.9260332869793059,0.04451638792423157,8710.0,0.0,25.0,0.9378841910599784,0.9182498086096225,4320.0,4024.0,426.18222632049583,427.72867972170934,4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,48,random_walk,0.5
1,random_walk,49,online_static_3step,dynamic_3step,0.0,0.0,0.14534806913177659,8619.0,0.0,0.0,0.9638199777908268,0.9137266510760487,4174.0,4006.0,407.3463593048509,439.2204751141835,8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,49,random_walk,0.5
1,random_walk,50,online_static_3step,dynamic_3step,0.0,0.0,0.0784352852174387,8593.0,0.0,0.0,0.9517893079009537,0.9275089314712569,4166.0,4149.0,412.65137814427726,446.539369383594,0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,50,random_walk,0.5
1,random_walk,51,online_static_3step,dynamic_3step,0.0,0.0,0.1442470123677147,8976.0,0.0,0.0,0.9654852881249966,0.9159468379691679,3549.0,4061.0,349.88250438845716,437.64471153123304,6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,51,random_walk,0.5
1,route_following,42,online_static_3step,dynamic_3step,0.9999998976,0.44217466960248564,0.13977042616814828,8677.0,0.0,10.0,0.9623667709788797,0.9148992733502688,4219.0,3967.0,410.82958395686,430.1583753717132,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,route_following,0.5
1,route_following,43,online_static_3step,dynamic_3step,0.0,0.0,0.14376947505251764,8800.0,0.0,0.0,0.9689191588811814,0.9244630269196197,4919.0,3905.0,475.32665898487903,401.49031538143754,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,route_following,0.5
1,route_following,44,online_static_3step,dynamic_3step,0.9999998976,0.33560969373683447,0.11846070272643969,8676.0,0.0,10.0,0.9610955834796268,0.9207940100580911,4234.0,4035.0,410.3330476991832,428.9959392347373,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,route_following,0.5
1,route_following,45,online_static_3step,dynamic_3step,0.0,0.0,0.2112790711296382,8670.0,0.0,0.0,0.9793385804946498,0.9179002290058313,3929.0,3893.0,377.24769028881565,425.14403006457724,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,route_following,0.5
1,route_following,46,online_static_3step,dynamic_3step,0.0,0.0,0.0680319139834189,8626.0,0.0,0.0,0.9556586119925149,0.9317159080199793,4148.0,4081.0,405.60362080391496,426.6779467004817,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,route_following,0.5
1,route_following,47,online_static_3step,dynamic_3step,0.0,0.0,0.11582869429579282,8943.0,0.0,0.0,0.9622836013222029,0.9229354119741978,4051.0,3984.0,395.17319930996746,429.2087112404406,2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,47,route_following,0.5
1,route_following,48,online_static_3step,dynamic_3step,0.9999999999999979,0.9262619048266422,0.04451638792423157,8710.0,0.0,21.0,0.9378841910599784,0.9182498086096225,4320.0,4024.0,426.18222632049583,427.72867972170934,4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,48,route_following,0.5
1,route_following,49,online_static_3step,dynamic_3step,0.0,0.0,0.14534806913177659,8619.0,0.0,0.0,0.9638199777908268,0.9137266510760487,4174.0,4006.0,407.3463593048509,439.2204751141835,8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,49,route_following,0.5
1,route_following,50,online_static_3step,dynamic_3step,0.0,0.0,0.0784352852174387,8593.0,0.0,0.0,0.9517893079009537,0.9275089314712569,4166.0,4149.0,412.65137814427726,446.539369383594,0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,50,route_following,0.5
1,route_following,51,online_static_3step,dynamic_3step,0.0,0.0,0.1442470123677147,8976.0,0.0,0.0,0.9654852881249966,0.9159468379691679,3549.0,4061.0,349.88250438845716,437.64471153123304,6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,51,route_following,0.5
7,lost_person,42,online_static_3step,dynamic_3step,0.0,0.0,0.07388801555826498,8233.0,0.0,0.0,0.9593983918405473,0.901395343065784,5622.0,4811.0,512.1656848895364,506.266283956822,006da335f256203469592a62a852eccffab880f7309f6633631136cbb4337c3b,42,lost_person,0.5
