dataset,planning_seed,k,planning_mode,P_detect,RMST,L,NRMST,T,H,T_common,H_common,actual_distance_total,budget_total,budget_utilization,termination_reason,exposure_multiplicity,revisit_fraction,planner_wall_time,number_of_replans,active_fleet,failed_drone_ids,failure_seed,victim_seed,sensor_seed,distribution_seed,survivor_ids,survivor_positions,initial_positions,initial_positions_hash,pizza_assignment,pizza_assignment_hash,max_step_distance,retention_Pdet,retention_invalid_reason,degradation_NRMST,simulation_victim_model,evaluation_victim_model,victim_sampling_model,evaluation_num_victims,simulation_num_victims,implementation_version,git_commit,source_hash,experiment_id,config_hash,belief_model,fix_profile,behavior_profile,w,p_d,tau,num_drones,budget,size,fov_deg,altitude,drone_speed,victim_speed,dt,condition_key,condition_key_hash
1,50,0,dynamic_evidence_3step,0.34636574097301676,6897.806292733597,0.3466695439103741,0.7925779952583704,8518,8519,8702,8703,200000.24292424528,200000.0,1.0000012146212265,budget_exhausted,13.431388075065327,0.9255475313190862,429.5859314179979,4024,5,[],4224204660,none,none,none,"[0,1,2,3,4]","[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520666.6634226377,5662992.363089708],[520728.41903202015,5662941.820064784],[520617.85019205464,5662941.898483964]]","[[520675.01713351544,5662822.070045462],[520555.01713351544,5662882.161092503],[520675.01713351544,5663002.343186585],[520735.01713351544,5662942.252139544],[520615.01713351544,5662942.252139544]]",7cadefccf80f82f4b65a03191613879c8a3d1f83bddd097e9b78bd77bff707a3,none,none,5.000000000155922,1.0,none,0.0,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
1,50,0,online_static_3step,0.23948073163281963,7344.432586050264,0.2397499634010072,0.8438966547225398,8652,8653,8702,8703,200015.00211225028,200000.0,1.0000750105612515,budget_exhausted,24.29073527344299,0.9588320407454567,402.12750690383837,4187,5,[],4224204660,none,none,none,"[0,1,2,3,4]","[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520666.6634226377,5662992.363089708],[520728.41903202015,5662941.820064784],[520617.85019205464,5662941.898483964]]","[[520675.01713351544,5662822.070045462],[520555.01713351544,5662882.161092503],[520675.01713351544,5663002.343186585],[520735.01713351544,5662942.252139544],[520615.01713351544,5662942.252139544]]",7cadefccf80f82f4b65a03191613879c8a3d1f83bddd097e9b78bd77bff707a3,none,none,5.000000000155922,1.0,none,0.0,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
1,50,0,pizza_repartition,0.32156657275877726,7001.240586051708,0.32194680057339015,0.8044628962486163,8012,8013,8702,8703,200015.77811239188,200000.0,1.0000788905619593,budget_exhausted,10.999212936462508,0.9090844039681248,0.0,0,5,[],4224204660,none,none,none,"[0,1,2,3,4]","[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520666.6634226377,5662992.363089708],[520728.41903202015,5662941.820064784],[520617.85019205464,5662941.898483964]]","[[520675.01713351544,5662822.070045462],[520555.01713351544,5662882.161092503],[520675.01713351544,5663002.343186585],[520735.01713351544,5662942.252139544],[520615.01713351544,5662942.252139544]]",7cadefccf80f82f4b65a03191613879c8a3d1f83bddd097e9b78bd77bff707a3,"{""0"":4,""1"":3,""2"":1,""3"":0,""4"":2}",411a3c6603f6ee07acaa9879b3f9db4904e22b2421d12f43dd8b99994a2262a3,5.000000000879647,1.0,none,0.0,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
1,50,1,dynamic_evidence_3step,0.3134199374276837,7092.318746956474,0.3136859775124651,0.814928041704754,8504,8505,8702,8703,160010.3686953575,160000.0,1.0000648043459843,budget_exhausted,12.60679385760819,0.9206776908312417,375.54726728610694,3471,4,[2],4224204660,none,none,none,"[0,1,3,4]","[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520728.41903202015,5662941.820064784],[520617.85019205464,5662941.898483964]]","[[520675.01713351544,5662822.070045462],[520555.01713351544,5662882.161092503],[520735.01713351544,5662942.252139544],[520615.01713351544,5662942.252139544]]",8c9a79f34df3263572004df8e23f5325241cb5d22f3f8b9e2c610f1ee7c9b04b,none,none,5.000000000155922,0.9048814601213702,none,0.02235004644638361,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
1,50,1,online_static_3step,0.1747693445533251,7667.686284715619,0.1749799383585421,0.8810394444117683,8663,8664,8702,8703,160010.6659520766,160000.0,1.0000666622004788,budget_exhausted,31.732859435909194,0.9684869243498305,352.513000828214,3584,4,[2],4224204660,none,none,none,"[0,1,3,4]","[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520728.41903202015,5662941.820064784],[520617.85019205464,5662941.898483964]]","[[520675.01713351544,5662822.070045462],[520555.01713351544,5662882.161092503],[520735.01713351544,5662942.252139544],[520615.01713351544,5662942.252139544]]",8c9a79f34df3263572004df8e23f5325241cb5d22f3f8b9e2c610f1ee7c9b04b,none,none,5.000000000155922,0.7297845774969807,none,0.03714278968922846,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
1,50,1,pizza_repartition,0.277966804383806,7245.618051588837,0.278359629086628,0.832542577454767,8011,8012,8702,8703,160017.53040080224,160000.0,1.000109565005014,budget_exhausted,10.932480454868514,0.9085294500065011,0.0,0,4,[2],4224204660,none,none,none,"[0,1,3,4]","[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520728.41903202015,5662941.820064784],[520617.85019205464,5662941.898483964]]","[[520675.01713351544,5662822.070045462],[520555.01713351544,5662882.161092503],[520735.01713351544,5662942.252139544],[520615.01713351544,5662942.252139544]]",8c9a79f34df3263572004df8e23f5325241cb5d22f3f8b9e2c610f1ee7c9b04b,"{""0"":3,""1"":2,""3"":0,""4"":1}",524e244b8e6c0ebf481a24113c42f421bba9b3d908b884c3195eef72f3367049,5.000000000905505,0.8644144881076381,none,0.028079681206150675,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
1,50,2,dynamic_evidence_3step,0.2808377611959462,7226.562641191882,0.28109861352155746,0.830353055405249,8506,8507,8702,8703,120009.7323515633,120000.0,1.000081102929694,budget_exhausted,11.300433477825942,0.9115078194157569,296.7492779849563,2719,3,"[2,4]",4224204660,none,none,none,"[0,1,3]","[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520728.41903202015,5662941.820064784]]","[[520675.01713351544,5662822.070045462],[520555.01713351544,5662882.161092503],[520735.01713351544,5662942.252139544]]",b0290ff4e1c2e3ef3914b6eac655810d2e9c61f526f980c972305634aa7a68bb,none,none,5.000000000155922,0.8108127565012978,none,0.03777506014687859,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
1,50,2,online_static_3step,0.1854205472678021,7603.194620603964,0.1856094565910811,0.873629164725263,8702,8703,8702,8703,120004.80986295304,120000.0,1.0000400821912754,budget_exhausted,21.978898501793626,0.9545018145509706,283.04374797991477,2862,3,"[2,4]",4224204660,none,none,none,"[0,1,3]","[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520728.41903202015,5662941.820064784]]","[[520675.01713351544,5662822.070045462],[520555.01713351544,5662882.161092503],[520735.01713351544,5662942.252139544]]",b0290ff4e1c2e3ef3914b6eac655810d2e9c61f526f980c972305634aa7a68bb,none,none,5.000000000155922,0.7742608184114599,none,0.029732510002723145,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
1,50,2,pizza_repartition,0.22634499584404666,7517.354869035053,0.2266557260179114,0.8637659277300991,8010,8011,8702,8703,120008.07644025782,120000.0,1.0000673036688152,budget_exhausted,10.900307110796126,0.9082594655512451,0.0,0,3,"[2,4]",4224204660,none,none,none,"[0,1,3]","[[520681.28884999023,5662823.413556474],[520565.7892566675,5662882.956006011],[520728.41903202015,5662941.820064784]]","[[520675.01713351544,5662822.070045462],[520555.01713351544,5662882.161092503],[520735.01713351544,5662942.252139544]]",b0290ff4e1c2e3ef3914b6eac655810d2e9c61f526f980c972305634aa7a68bb,"{""0"":2,""1"":1,""3"":0}",5c3df012806321605938f83701f67da402307f0df24c16ee9ece49a20d4d28cf,5.000000000899856,0.7038822284984175,none,0.05930303148148275,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
1,50,3,dynamic_evidence_3step,0.1975543141091129,7676.325019285317,0.1977470828811757,0.8820320601270041,8493,8494,8702,8703,80008.67351901671,80000.0,1.000108418987709,budget_exhausted,13.031442901234568,0.9232625268299903,207.725862959167,1943,2,"[2,4,1]",4224204660,none,none,none,"[0,3]","[[520681.28884999023,5662823.413556474],[520728.41903202015,5662941.820064784]]","[[520675.01713351544,5662822.070045462],[520735.01713351544,5662942.252139544]]",5d9ed8940bca0b270ab13591ac3a08e48863be0a93abc9c12d421b313952e084,none,none,5.000000000155922,0.5703633204431242,none,0.08945406486863372,none,stationary,matched_prior_exact,1,0,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c4-attrition_20260827_075624_501873_327229d1,327229d1bf70f8e05e383a7a64e8207b7bcbbc0877cfd63b067cd569f1a2c3bf,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c4-attrition"",""tau"":10000.0,""w"":0.5}",d4ab4fc6428a0b1f4ceb9e0c3f60e249d31253158385f9207158cfb8c2c16199
