dataset,k,comparator,n,dRetention_mean,dRetention_ci_lo,dRetention_ci_hi,dDegradation_mean,dDegradation_ci_lo,dDegradation_ci_hi,state
1,1,online_static_3step,10,0.013158835470580188,-0.14127754156875377,0.16759521250991416,-0.009207345760908703,-0.03299449731841597,0.014579805796598563,INCONCLUSIVE
1,1,pizza_repartition,10,0.00628263070932159,-0.03813745304117594,0.05070271445981912,-0.0020935930622735578,-0.01248221330963524,0.008295027185088125,INCONCLUSIVE
1,2,online_static_3step,10,0.009266683020922928,-0.07272061885532477,0.09125398489717063,-0.026975398143925633,-0.04309297832084841,-0.010857817967002859,WORSENING
1,2,pizza_repartition,10,0.018129772365241693,-0.027097039735015885,0.06335658446549927,-0.0075149783654072655,-0.022089980161763837,0.007060023430949306,INCONCLUSIVE
1,3,online_static_3step,10,0.02387685623113036,-0.11596281135670555,0.1637165238189663,-0.03065733434185125,-0.047784188941175504,-0.013530479742526996,WORSENING
1,3,pizza_repartition,10,0.037123831303017496,0.009181365667150058,0.06506629693888494,-0.00425979392365936,-0.013750234522814249,0.005230646675495528,IMPROVEMENT
5,1,online_static_3step,10,-0.03196021725769964,-0.2693946627974684,0.20547422828206907,-0.004325006050160019,-0.022882444574362018,0.014232432474041982,INCONCLUSIVE
5,1,pizza_repartition,10,0.029328011623158633,-0.0028453029250199054,0.061501326171337176,0.002776345973875871,-0.00045401519336949,0.006006707141121232,INCONCLUSIVE
5,2,online_static_3step,10,-0.016739784778961774,-0.12309564882147192,0.08961607926354836,-0.015127522722794329,-0.02667060311276136,-0.003584442332827297,INCONCLUSIVE
5,2,pizza_repartition,10,0.020234804715956723,-0.01572339392113292,0.05619300335304636,0.0025948079841708327,-0.0006143458319607014,0.005803961800302367,INCONCLUSIVE
5,3,online_static_3step,10,-0.1334897208678283,-0.3024331694032642,0.035453727667607626,-0.028127062719255837,-0.04435502901715276,-0.011899096421358911,WORSENING
5,3,pizza_repartition,10,0.023435588706833942,-0.0008925697234520927,0.04776374713711998,0.002971632344338859,-0.0009889033633146984,0.006932168051992416,INCONCLUSIVE
10,1,online_static_3step,10,-0.10826070234977465,-0.16103802389984395,-0.055483380799705356,-0.01817654194908349,-0.02523722208935869,-0.011115861808808289,WORSENING
10,1,pizza_repartition,10,-0.008807814654769586,-0.07433250187118894,0.05671687256164977,-0.004682183645449501,-0.012432703810093053,0.003068336519194052,INCONCLUSIVE
10,2,online_static_3step,10,-0.20262454210927233,-0.2798704918490593,-0.12537859236948534,-0.0374024276944948,-0.04763018186291097,-0.027174673526078625,WORSENING
10,2,pizza_repartition,10,0.023901561264961145,-0.01921190897718169,0.06701503150710397,-0.009451183657697638,-0.014956026520563173,-0.0039463407948321025,INCONCLUSIVE
10,3,online_static_3step,10,-0.2711851646260891,-0.3540871498584606,-0.18828317939371758,-0.05838959769208376,-0.06970054847959481,-0.04707864690457271,WORSENING
10,3,pizza_repartition,10,-0.013043569949409606,-0.04900564014599345,0.02291850024717424,-0.01850376074529616,-0.02556864833889988,-0.011438873151692439,INCONCLUSIVE
