dataset,planning_seed,k,failure_identity_equal,survivor_positions_equal,budget_total_equal,active_fleet_equal,temporal_resolution_equal,max_step_distance,step_bound,step_bound_ok,invalid_path_exhaustion
1,42,0,True,True,True,True,True,5.00000000090993,5.0,True,False
1,42,1,True,True,True,True,True,5.000000000893584,5.0,True,False
1,42,2,True,True,True,True,True,5.000000000905654,5.0,True,False
1,42,3,True,True,True,True,True,5.0000000008764545,5.0,True,False
1,43,0,True,True,True,True,True,5.000000000899729,5.0,True,False
1,43,1,True,True,True,True,True,5.000000000895129,5.0,True,False
1,43,2,True,True,True,True,True,5.000000000914898,5.0,True,False
1,43,3,True,True,True,True,True,5.0000000009128875,5.0,True,False
1,44,0,True,True,True,True,True,5.00000000090993,5.0,True,False
1,44,1,True,True,True,True,True,5.000000000902051,5.0,True,False
1,44,2,True,True,True,True,True,5.000000000900504,5.0,True,False
1,44,3,True,True,True,True,True,5.000000000859175,5.0,True,False
1,45,0,True,True,True,True,True,5.0000000008970575,5.0,True,False
1,45,1,True,True,True,True,True,5.000000000893628,5.0,True,False
1,45,2,True,True,True,True,True,5.000000000901971,5.0,True,False
1,45,3,True,True,True,True,True,5.000000000892737,5.0,True,False
1,46,0,True,True,True,True,True,5.000000000912507,5.0,True,False
1,46,1,True,True,True,True,True,5.000000000902051,5.0,True,False
1,46,2,True,True,True,True,True,5.000000000914898,5.0,True,False
1,46,3,True,True,True,True,True,5.00000000087634,5.0,True,False
1,47,0,True,True,True,True,True,5.000000000912507,5.0,True,False
1,47,1,True,True,True,True,True,5.000000000893628,5.0,True,False
1,47,2,True,True,True,True,True,5.000000000914898,5.0,True,False
1,47,3,True,True,True,True,True,5.0000000009128875,5.0,True,False
1,48,0,True,True,True,True,True,5.000000000912507,5.0,True,False
1,48,1,True,True,True,True,True,5.000000000893628,5.0,True,False
1,48,2,True,True,True,True,True,5.0000000008936345,5.0,True,False
1,48,3,True,True,True,True,True,5.0000000008764545,5.0,True,False
1,49,0,True,True,True,True,True,5.00000000090993,5.0,True,False
1,49,1,True,True,True,True,True,5.000000000893628,5.0,True,False
1,49,2,True,True,True,True,True,5.000000000914898,5.0,True,False
1,49,3,True,True,True,True,True,5.0000000009128875,5.0,True,False
1,50,0,True,True,True,True,True,5.000000000879647,5.0,True,False
1,50,1,True,True,True,True,True,5.000000000905505,5.0,True,False
1,50,2,True,True,True,True,True,5.000000000899856,5.0,True,False
1,50,3,True,True,True,True,True,5.000000000892737,5.0,True,False
1,51,0,True,True,True,True,True,5.000000000899729,5.0,True,False
1,51,1,True,True,True,True,True,5.000000000913213,5.0,True,False
1,51,2,True,True,True,True,True,5.000000000901971,5.0,True,False
1,51,3,True,True,True,True,True,5.0000000008764545,5.0,True,False
5,42,0,True,True,True,True,True,5.000000000912507,5.0,True,False
5,42,1,True,True,True,True,True,5.000000000926453,5.0,True,False
5,42,2,True,True,True,True,True,5.000000000905654,5.0,True,False
5,42,3,True,True,True,True,True,5.000000000889532,5.0,True,False
5,43,0,True,True,True,True,True,5.000000000896881,5.0,True,False
5,43,1,True,True,True,True,True,5.000000000875116,5.0,True,False
5,43,2,True,True,True,True,True,5.000000000908379,5.0,True,False
5,43,3,True,True,True,True,True,5.000000000884721,5.0,True,False
5,44,0,True,True,True,True,True,5.000000000904837,5.0,True,False
5,44,1,True,True,True,True,True,5.000000000898341,5.0,True,False
5,44,2,True,True,True,True,True,5.000000000925189,5.0,True,False
5,44,3,True,True,True,True,True,5.000000000892737,5.0,True,False
5,45,0,True,True,True,True,True,5.000000000926453,5.0,True,False
5,45,1,True,True,True,True,True,5.000000000920888,5.0,True,False
5,45,2,True,True,True,True,True,5.000000000914898,5.0,True,False
5,45,3,True,True,True,True,True,5.0000000009128875,5.0,True,False
5,46,0,True,True,True,True,True,5.0000000009060015,5.0,True,False
5,46,1,True,True,True,True,True,5.000000000888339,5.0,True,False
5,46,2,True,True,True,True,True,5.000000000901971,5.0,True,False
5,46,3,True,True,True,True,True,5.000000000899856,5.0,True,False
5,47,0,True,True,True,True,True,5.000000000887461,5.0,True,False
5,47,1,True,True,True,True,True,5.000000000892224,5.0,True,False
5,47,2,True,True,True,True,True,5.000000000908379,5.0,True,False
5,47,3,True,True,True,True,True,5.000000000889653,5.0,True,False
5,48,0,True,True,True,True,True,5.000000000905258,5.0,True,False
5,48,1,True,True,True,True,True,5.000000000914471,5.0,True,False
5,48,2,True,True,True,True,True,5.000000000908379,5.0,True,False
5,48,3,True,True,True,True,True,5.00000000087634,5.0,True,False
5,49,0,True,True,True,True,True,5.000000000888166,5.0,True,False
5,49,1,True,True,True,True,True,5.000000000910829,5.0,True,False
5,49,2,True,True,True,True,True,5.000000000908379,5.0,True,False
5,49,3,True,True,True,True,True,5.000000000889653,5.0,True,False
5,50,0,True,True,True,True,True,5.000000000887461,5.0,True,False
5,50,1,True,True,True,True,True,5.000000000889608,5.0,True,False
5,50,2,True,True,True,True,True,5.000000000908379,5.0,True,False
5,50,3,True,True,True,True,True,5.000000000889653,5.0,True,False
5,51,0,True,True,True,True,True,5.000000000888166,5.0,True,False
5,51,1,True,True,True,True,True,5.000000000893628,5.0,True,False
5,51,2,True,True,True,True,True,5.000000000908379,5.0,True,False
5,51,3,True,True,True,True,True,5.0000000009128875,5.0,True,False
10,42,0,True,True,True,True,True,5.000000000918218,5.0,True,False
10,42,1,True,True,True,True,True,5.000000000884041,5.0,True,False
10,42,2,True,True,True,True,True,5.000000000914898,5.0,True,False
10,42,3,True,True,True,True,True,5.000000000869609,5.0,True,False
10,43,0,True,True,True,True,True,5.000000000917254,5.0,True,False
10,43,1,True,True,True,True,True,5.000000000894282,5.0,True,False
10,43,2,True,True,True,True,True,5.000000000892224,5.0,True,False
10,43,3,True,True,True,True,True,5.000000000899856,5.0,True,False
10,44,0,True,True,True,True,True,5.000000000905258,5.0,True,False
10,44,1,True,True,True,True,True,5.000000000897583,5.0,True,False
10,44,2,True,True,True,True,True,5.0000000008936345,5.0,True,False
10,44,3,True,True,True,True,True,5.000000000899856,5.0,True,False
10,45,0,True,True,True,True,True,5.000000000917254,5.0,True,False
10,45,1,True,True,True,True,True,5.000000000910829,5.0,True,False
10,45,2,True,True,True,True,True,5.0000000009016325,5.0,True,False
10,45,3,True,True,True,True,True,5.000000000889653,5.0,True,False
10,46,0,True,True,True,True,True,5.000000000901098,5.0,True,False
10,46,1,True,True,True,True,True,5.000000000875136,5.0,True,False
10,46,2,True,True,True,True,True,5.000000000901098,5.0,True,False
10,46,3,True,True,True,True,True,5.000000000899856,5.0,True,False
10,47,0,True,True,True,True,True,5.000000000891834,5.0,True,False
10,47,1,True,True,True,True,True,5.000000000892224,5.0,True,False
10,47,2,True,True,True,True,True,5.0000000009016325,5.0,True,False
10,47,3,True,True,True,True,True,5.000000000899856,5.0,True,False
10,48,0,True,True,True,True,True,5.000000000904411,5.0,True,False
10,48,1,True,True,True,True,True,5.000000000894282,5.0,True,False
10,48,2,True,True,True,True,True,5.00000000088045,5.0,True,False
10,48,3,True,True,True,True,True,5.000000000889653,5.0,True,False
10,49,0,True,True,True,True,True,5.0000000008760175,5.0,True,False
10,49,1,True,True,True,True,True,5.000000000905505,5.0,True,False
10,49,2,True,True,True,True,True,5.000000000914898,5.0,True,False
10,49,3,True,True,True,True,True,5.0000000009128875,5.0,True,False
10,50,0,True,True,True,True,True,5.000000000889608,5.0,True,False
10,50,1,True,True,True,True,True,5.000000000885739,5.0,True,False
10,50,2,True,True,True,True,True,5.000000000901098,5.0,True,False
10,50,3,True,True,True,True,True,5.0000000008764545,5.0,True,False
10,51,0,True,True,True,True,True,5.000000000917254,5.0,True,False
10,51,1,True,True,True,True,True,5.000000000901971,5.0,True,False
10,51,2,True,True,True,True,True,5.000000000891764,5.0,True,False
10,51,3,True,True,True,True,True,5.000000000889653,5.0,True,False
