dataset,planning_seed,k,comparator,dRetention_Pdet_Dyn_OS,dDegradation_NRMST_Dyn_OS,dPdet,dRMST_rel,dRetention_Pdet_Dyn_Pizza,dDegradation_NRMST_Dyn_Pizza
1,42,1,online_static_3step,-0.18897850046587839,-0.043856344075635656,0.056913601630410315,0.015031203278005854,,
1,42,2,online_static_3step,-0.06361976688463122,-0.028394906174821877,0.07031838153906522,0.030492641178819543,,
1,42,3,online_static_3step,-0.11845932869248288,-0.04353973901873742,0.04234162362792998,0.015347808334903951,,
1,43,1,online_static_3step,0.015124915604067368,-0.0053752104701043635,0.1180260675490711,0.047218303169967654,,
1,43,2,online_static_3step,-0.16997675632487985,-0.044433672066201746,0.05113342888910377,0.008159841573870305,,
1,43,3,online_static_3step,-0.20816879318600545,-0.049654978989329246,0.02413562615295789,0.0029385346507427904,,
1,44,1,online_static_3step,0.10942784042765386,0.009396051043173315,0.10909845911656799,0.06025308025488105,,
1,44,2,online_static_3step,-0.027919580509427444,-0.03934594205233666,0.05864807633938535,0.011511087159371073,,
1,44,3,online_static_3step,-0.041179839620435144,-0.03210256582122839,0.0506142159818668,0.018754463390479315,,
1,45,1,online_static_3step,0.23764707880502667,0.03188828994181059,0.13971634997139293,0.06947484061548416,,
1,45,2,online_static_3step,0.13063780763527533,0.008400561058746092,0.10196918311241804,0.04598711173241973,,
1,45,3,online_static_3step,0.2921681775640169,0.01125931697805116,0.12702195853223006,0.04884586765172463,,
1,46,1,online_static_3step,-0.42075565258063385,-0.07643270618438436,0.09896306810201233,0.0397263074576656,,
1,46,2,online_static_3step,0.027641782428061812,-0.06364857714332639,0.1465227349735783,0.05251043649872361,,
1,46,3,online_static_3step,0.067903769357672,-0.06258684670166559,0.11970071511249275,0.0535721669403843,,
1,47,1,online_static_3step,0.07333278796861242,0.0083775552162757,0.11512874976960463,0.06221363926310676,,
1,47,2,online_static_3step,0.02969515475963802,-0.017609279361011643,0.09696416739187969,0.036226804685819465,,
1,47,3,online_static_3step,0.19583954286252236,-0.007094557185085226,0.11422394139140823,0.046741526861745875,,
1,48,1,online_static_3step,0.27527426041360303,0.019018910474673523,0.1728016540619431,0.07181771480286796,,
1,48,2,online_static_3step,-0.05313907699728493,-0.018517052554516633,0.06683572161022677,0.034281751773677704,,
1,48,3,online_static_3step,-0.16917409162062658,-0.04644810291293089,0.024107080807149933,0.0063507014152635365,,
1,49,1,online_static_3step,0.021264245593666686,-0.026498202822535122,0.11125008702574407,0.04385227812199516,,
1,49,2,online_static_3step,0.24269280738714427,-0.006878412174276982,0.15664703679301187,0.06347206877025321,,
1,49,3,online_static_3step,0.20897458813679687,-0.022554527534013213,0.12242219153832737,0.047795953410516984,,
1,50,1,online_static_3step,0.1750968826243895,0.014792743242844852,0.1386505928743586,0.06611140270701428,,
1,50,2,online_static_3step,0.03655193808983792,-0.008042550144155447,0.09541721392814412,0.043276109320013995,,
1,50,3,online_static_3step,0.21742646054946702,-0.005070150398201578,0.11303273668158992,0.04624850906596785,,
1,51,1,online_static_3step,-0.1658455036847054,-0.023384543975205507,0.09990008561216401,0.041230777155640976,,
1,51,2,online_static_3step,-0.059897479374504625,-0.051284150827355046,0.0833191724673302,0.01333117030349153,,
1,51,3,online_static_3step,-0.2065619230396215,-0.048781191835372106,0.04234162362792998,0.015834129295474432,,
5,42,1,online_static_3step,0.018235789654096224,-0.0009628731949575808,0.07454314800780332,0.026267683826866582,,
5,42,2,online_static_3step,-0.31042327685644777,-0.03206432517434976,-0.007997030017292267,-0.004833768152525601,,
5,42,3,online_static_3step,-0.07558123233636127,-0.025368730092582892,0.029313377554927744,0.001861826929241245,,
5,43,1,online_static_3step,0.21512241450840175,0.02250539155586384,0.1252316983617167,0.06634079480550795,,
5,43,2,online_static_3step,0.03890496075565941,-0.00865958797829236,0.07539946412836812,0.03517581527135167,,
5,43,3,online_static_3step,-0.05882864102218588,-0.02979380806863452,0.039690225971721824,0.014041595181009586,,
5,44,1,online_static_3step,-0.00839085270858364,-0.005317455296306339,0.08218502843695599,0.03486250605824763,,
5,44,2,online_static_3step,0.0022217969137751092,-0.019022304433609527,0.07271411306864878,0.021157656920944574,,
5,44,3,online_static_3step,0.07843685616336893,-0.020297175877633578,0.06819610440001946,0.01988278547692054,,
5,45,1,online_static_3step,0.3951608285380196,0.03806575684977631,0.1445432740118944,0.053876014587802785,,
5,45,2,online_static_3step,0.07751666771676802,0.0068540853932902435,0.06138852124929248,0.022664343131316794,,
5,45,3,online_static_3step,0.03204007158061528,-0.001880365566380382,0.043974132761229856,0.013929892171646056,,
5,46,1,online_static_3step,-0.06272763132614267,-0.011516682550279045,0.11593864500513235,0.04487397205428703,,
5,46,2,online_static_3step,-0.025234382804679822,-0.01810680641163842,0.1010654861619518,0.038283848192927634,,
5,46,3,online_static_3step,-0.6027515551248871,-0.05805801704597435,-0.0024453209513454477,-0.0016673624414083922,,
5,47,1,online_static_3step,-0.09248239463499974,-0.018329219818950415,0.09540556219188431,0.03974596713319342,,
5,47,2,online_static_3step,0.14754708546069872,-0.011777392411701393,0.11806729742566034,0.046297794540442354,,
5,47,3,online_static_3step,-0.14541281648347704,-0.03378125487814643,0.04885896974283366,0.0242939320739974,,
5,48,1,online_static_3step,-0.007223214004998479,-0.0014050831600569413,0.056758219443197894,0.020124893990477604,,
5,48,2,online_static_3step,0.103122669994266,0.009143132771846862,0.07008638269718809,0.03067310992238149,,
5,48,3,online_static_3step,0.04871769052197794,0.002341995874696523,0.04897691079406896,0.02387197302523113,,
5,49,1,online_static_3step,0.35825264175780125,0.017005870069090823,0.12207249703433568,0.046073579059281285,,
5,49,2,online_static_3step,0.04616913761277719,-0.013891506577061286,0.04883718632915393,0.015176202413129052,,
5,49,3,online_static_3step,0.08528511133150962,-0.0054329660824907755,0.04894788665480379,0.023634742907699596,,
5,50,1,online_static_3step,-0.4864071963322313,-0.03776477552012414,0.08789762264936074,0.038325694601744474,,
5,50,2,online_static_3step,-0.25033716126443395,-0.045002564274897905,0.08818495454894626,0.031087905846970652,,
5,50,3,online_static_3step,-0.464476190367933,-0.06187094934255977,0.039578125752519996,0.014219520779308789,,
5,51,1,online_static_3step,-0.6491425580283594,-0.0455309894356567,0.05944651941505413,0.022725640283578707,,
5,51,2,online_static_3step,0.0031146546819993404,-0.01874795813152974,0.12106497319664342,0.049508671587705645,,
5,51,3,online_static_3step,-0.23232650294091017,-0.04712935611285218,0.05853316893481783,0.02112727360638325,,
10,42,1,online_static_3step,-0.13513146128118947,-0.01696697603573838,0.12732570129431994,0.06122953211371356,,
10,42,2,online_static_3step,-0.058230064980778984,-0.030605940022098377,0.12978558208342522,0.047590568127353655,,
10,42,3,online_static_3step,-0.23045940179083102,-0.04890348125522703,0.08162326709476977,0.029293026894224906,,
10,43,1,online_static_3step,-0.23211271391797605,-0.03328802838852152,0.11120918032266806,0.05523790191049812,,
10,43,2,online_static_3step,-0.2729385303622134,-0.048717113531028144,0.10218273489614627,0.03980881676799149,,
10,43,3,online_static_3step,-0.337526699206943,-0.07012222284159697,0.07017043398047954,0.018403707457422726,,
10,44,1,online_static_3step,-0.11318570295861152,-0.023313329380100556,0.15480817659720747,0.0750962053046928,,
