dataset,dPdet_n,dPdet_mean,dPdet_sd,dPdet_se,dPdet_ci_lo,dPdet_ci_hi,dPdet_favorable_count,dPdet_n_total,dPdet_tost_p_lower,dPdet_tost_p_upper,dPdet_tost_p_max,dPdet_equivalent,dRMST_rel_n,dRMST_rel_mean,dRMST_rel_sd,dRMST_rel_se,dRMST_rel_ci_lo,dRMST_rel_ci_hi,dRMST_rel_favorable_count,dRMST_rel_n_total,dRMST_rel_tost_p_lower,dRMST_rel_tost_p_upper,dRMST_rel_tost_p_max,dRMST_rel_equivalent,state,non_adverse,practically_positive,environment_type,environment_climate,prior_support,prior_entropy
1,10,0.1208844820052346,0.04782747321365971,0.015124375008585766,0.08667076874671614,0.15509819526375307,10,10,5.876990011172457e-06,0.9999779327246889,0.9999779327246889,False,10,0.04993375696363077,0.024830589416881908,0.007852121820181903,0.03217102334494219,0.06769649058231934,10,10,4.650024558704613e-06,0.9979303934715946,0.9979303934715946,False,IMPROVEMENT,True,True,flat,temperate,269479,11.611788128072533
2,10,0.14583791979772084,0.021566145619726206,0.006819814050919833,0.1304104285934807,0.16126541100196098,10,10,1.3975578595591045e-09,0.999999995292998,0.999999995292998,False,10,0.06803971899712243,0.016364134039468393,0.005174793550101184,0.05633352270175908,0.07974591529248577,10,10,1.8808633807141347e-08,0.999996689645608,0.999996689645608,False,IMPROVEMENT,True,True,flat,temperate,331915,12.186940439263669
3,10,0.1401883065886676,0.03207754268749151,0.010143809663375195,0.11724141490060175,0.16313519827673345,10,10,6.315694498850522e-08,0.999999783253433,0.999999783253433,False,10,0.06636923208166076,0.021236295014824373,0.0067155061310124236,0.05117770178557575,0.08156076237774577,10,10,2.128886184799379e-07,0.9999648538512862,0.9999648538512862,False,IMPROVEMENT,True,True,flat,temperate,301630,12.020319810341498
4,10,0.041702287084140574,0.024374222487103095,0.007707805925493987,0.024266018700325905,0.05913855546795524,10,10,4.387801237738498e-05,0.9986874078095161,0.9986874078095161,False,10,0.014730952092514304,0.015385748683014887,0.004865400934526304,0.003724650518590545,0.025737253666438063,9,10,2.717393620903344e-05,0.1534922169515595,0.1534922169515595,False,IMPROVEMENT,True,True,flat,temperate,338823,12.124309196086287
5,10,0.10741647360083273,0.035234838218589255,0.01114223417582918,0.08221098875040579,0.13262195845125965,10,10,1.1547852566012789e-06,0.9999945926235175,0.9999945926235175,False,10,0.04377928763952583,0.019154376528152953,0.006057145698943164,0.030077072110549212,0.057481503168502444,10,10,1.1625057817295423e-06,0.9982599786965709,0.9982599786965709,False,IMPROVEMENT,True,True,flat,temperate,332327,12.09582121216583
6,10,0.008763747070043123,0.03250703169231929,0.01027962601190068,-0.014490382543664745,0.03201787668375099,6,10,0.05062141887858075,0.45345860124096043,0.45345860124096043,False,10,0.004482007381132336,0.019097205246396697,0.006039066552233064,-0.00917931027661675,0.01814332503888142,6,10,0.0014339579933270394,0.015103776375340768,0.015103776375340768,True,INCONCLUSIVE,True,False,flat,temperate,337615,12.179117521137893
7,10,0.11738373924920795,0.030422117582227494,0.009620318280529366,0.09562106734250993,0.13914641115590595,10,10,1.6578743117277567e-07,0.9999992885809444,0.9999992885809444,False,10,0.050961303483347466,0.019503651293368646,0.006167596077673378,0.03700923183899252,0.06491337512770241,10,10,5.505205462578953e-07,0.9996404529625882,0.9996404529625882,False,IMPROVEMENT,True,True,flat,temperate,340140,12.167687839123431
8,10,0.17373378281617863,0.03291474295466583,0.01040855563357243,0.15018799413530914,0.1972795714970481,10,10,1.3616179955229578e-08,0.9999999627072701,0.9999999627072701,False,10,0.08600972618062844,0.018995796845625242,0.006006998400201767,0.07242095172269465,0.09959850063856222,10,10,1.3646556918797869e-08,0.9999991880914988,0.9999991880914988,False,IMPROVEMENT,True,True,flat,temperate,337972,12.109577664673195
9,10,0.126868262043766,0.02569316699392222,0.008124892800385579,0.1084884775984062,0.14524804648912581,10,10,2.051115062403988e-08,0.9999999188557932,0.9999999188557932,False,10,0.064399670675406,0.015376896411602298,0.004862601600513326,0.053399701634970764,0.07539963971584124,10,10,1.5786370757559857e-08,0.9999962070072965,0.9999962070072965,False,IMPROVEMENT,True,True,flat,temperate,316873,12.077412910290256
10,10,0.15302681348279873,0.022657396523243417,0.007164897886302936,0.13681868840858083,0.16923493855701663,10,10,1.4513632912305263e-09,0.9999999953837706,0.9999999953837706,False,10,0.07361107485212451,0.010585208288586282,0.003347336769922556,0.06603887300174639,0.08118327670250262,10,10,2.321990046704784e-10,0.9999999681167178,0.9999999681167178,False,IMPROVEMENT,True,True,flat,temperate,159830,11.433950297577853
11,10,0.11977486666398282,0.04387547374139183,0.01387464304417077,0.08838824352034362,0.151161489807622,10,10,3.111945262121254e-06,0.9999879102192202,0.9999879102192202,False,10,0.05012291169712703,0.02832422299911799,0.008956905763173822,0.029860983168454844,0.07038484022579922,10,10,1.3148266270913774e-05,0.9958259817248074,0.9958259817248074,False,IMPROVEMENT,True,True,flat,temperate,200570,11.55402629706672
12,10,0.05015452459419092,0.026367861349207596,0.008338249889101644,0.0312920928823583,0.06901695630602353,10,10,2.50265424111247e-05,0.9995236711016757,0.9995236711016757,False,10,0.020856626822928916,0.01074284067895968,0.00339718450858223,0.013171661553492524,0.028541592092365307,10,10,3.777962631364581e-07,0.596708426224912,0.596708426224912,False,IMPROVEMENT,True,True,flat,temperate,209514,11.630184288869916
13,10,0.0474386689525173,0.03792341882718167,0.011992438015440551,0.020309889396474965,0.07456744850855963,9,10,0.0004939907684329796,0.9938590891108416,0.9938590891108416,False,10,0.0197309159741931,0.01990979808995721,0.006296030971833475,0.00548830441406066,0.03397352753432554,9,10,6.962125057129782e-05,0.48342150953424473,0.48342150953424473,False,IMPROVEMENT,True,True,flat,temperate,173546,11.47650529646062
14,10,0.1853228521776733,0.028761381831619016,0.009095147524170151,0.16474819905916543,0.20589750529618117,10,10,2.421083973148917e-09,0.9999999937186096,0.9999999937186096,False,10,0.09614260577769922,0.017040403949236015,0.005388648872891407,0.08395263513208345,0.10833257642331498,10,10,2.3449810436396493e-09,0.9999999053428477,0.9999999053428477,False,IMPROVEMENT,True,True,flat,temperate,199967,11.471581042823669
