dataset,planning_seed,planning_mode,w,p_d,tau,P_detect,RMST,L,exposure_multiplicity,revisit_fraction,observed_cells,T,H,T_common,H_common,actual_distance_total,planner_wall_time,number_of_replans,initial_positions,initial_positions_hash,trajectory_hash,simulation_victim_model,evaluation_victim_model,victim_sampling_model,evaluation_num_victims,simulation_num_victims,condition_key,condition_key_hash,environment_type,environment_climate,prior_support,prior_entropy,implementation_version,git_commit,source_hash,experiment_id,config_hash,victim_seed,sensor_seed,distribution_seed,failure_seed,belief_model,fix_profile,behavior_profile,num_drones,budget,size,fov_deg,altitude,drone_speed,victim_speed,dt
1,45,online_static_3step,0.5,0.8,10000.0,0.15108230152419047,7560.183042027886,0.15121713552208552,48.3993851313583,0.9793385804946498,3578,8669,8670,8669,8670,200017.23400304257,380.4902595146559,3929,"[[520594.86011050467,5662879.965744384],[520667.7347539138,5662822.443784041],[520571.91917911393,5662906.536769972],[520682.0505419891,5662838.300736998],[520591.23509777116,5662956.723982938]]",ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,57f64cab67d95fb323797b6f99e5c2399ca70ce0ed5ce10f00973a0411795f94,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,45,dynamic_3step,0.5,0.8,10000.0,0.36217056218730864,6779.484865222071,0.3624962066517237,12.180301941049605,0.9179002290058313,13910,8508,8509,8669,8670,200000.05829476897,423.65703835873865,3893,"[[520594.86011050467,5662879.965744384],[520667.7347539138,5662822.443784041],[520571.91917911393,5662906.536769972],[520682.0505419891,5662838.300736998],[520591.23509777116,5662956.723982938]]",ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,77fc062aad21d5c7b7e190751b19404242d07b25314255217fd149f4ba4563aa,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,0.5,0.8,10000.0,0.22922920578577377,7269.432917237908,0.22946107417453482,26.572261429886467,0.9623667709788797,6518,8676,8677,8676,8677,200022.46158781106,407.10811659973115,4219,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,999baefbe15b45509ad10352e98af31e681a65799212995e70486c1165857a61,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_3step,0.5,0.8,10000.0,0.3688016337052081,6734.613978532757,0.3692315003426831,11.750780978826796,0.9148992733502688,14405,8501,8502,8676,8677,200005.17970534146,424.19235781393945,3967,"[[520669.9511760232,5662846.707767202],[520712.6785931303,5662847.395729886],[520741.99673526455,5662967.3026087405],[520666.2176493371,5662823.763432814],[520706.5342354978,5662960.580354788]]",e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,e0670cd592efa42f2c965d6a2b123d419255db52c175aaf2f6987ab78d7ef01c,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,51,online_static_3step,0.5,0.8,10000.0,0.2205543018396447,7509.282894872386,0.22076569450236122,28.973152191492805,0.9654852881249966,6183,8975,8976,8975,8976,200013.3662323596,346.48162174387835,3549,"[[520711.8522611355,5662892.597864088],[520658.5627617937,5662959.366663233],[520670.5155692668,5662866.853961261],[520689.3788789926,5662831.804692118],[520598.1880891093,5662945.3050262295]]",6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,1863098a13672c53ba68ec8e812057202fb714411c72e8fd09b8b9bd43fa01c5,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,51,dynamic_3step,0.5,0.8,10000.0,0.3646539491883437,6908.008516551337,0.3650127068700759,11.897232368642877,0.9159468379691679,14236,8509,8510,8975,8976,200008.2785282884,436.8547855189536,4061,"[[520711.8522611355,5662892.597864088],[520658.5627617937,5662959.366663233],[520670.5155692668,5662866.853961261],[520689.3788789926,5662831.804692118],[520598.1880891093,5662945.3050262295]]",6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,a87414458ca8493b96ff01464b4294ed426935680d2a37f2b90633a882474153,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,46,online_static_3step,0.5,0.8,10000.0,0.25555156136819646,7172.242389132364,0.25581766724835997,22.55229357798165,0.9556586119925149,7630,8625,8626,8625,8626,200017.97112690134,403.1078805422876,4148,"[[520683.0606025209,5662896.673861332],[520648.8717985227,5662990.272526192],[520686.69451162766,5662900.4684148645],[520599.4214516467,5662848.301367384],[520573.724335097,5662905.991302054]]",c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,5f5e07af683d2d05ef33e0229b0385136fc24d439c7dafe91c23a0b4430c5669,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,46,dynamic_3step,0.5,0.8,10000.0,0.3236052126431871,6971.6734117645055,0.32384958123177887,14.64469938756146,0.9317159080199793,11593,8522,8523,8625,8626,200018.8445497253,437.50289303297177,4081,"[[520683.0606025209,5662896.673861332],[520648.8717985227,5662990.272526192],[520686.69451162766,5662900.4684148645],[520599.4214516467,5662848.301367384],[520573.724335097,5662905.991302054]]",c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,b44436d8ebd0be21d4223f47e3a208c0bc8099ec1fa7d03293df3c9fd9777bb5,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,44,online_static_3step,0.5,0.8,10000.0,0.23602856324517463,7209.027151718776,0.23623932739904632,25.704022561971204,0.9610955834796268,6737,8675,8676,8675,8676,200016.18080390524,412.6985668281559,4234,"[[520696.4868621241,5662947.577361604],[520578.32640263636,5662967.147165437],[520708.48603658227,5662991.097060128],[520690.22232444835,5662961.878196735],[520625.57199829567,5662841.645476752]]",2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,eaf2605b76980bd0aab2c64a463bf2d95aac80b8cb061aa192e21e56af7f46e7,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,44,dynamic_3step,0.5,0.8,10000.0,0.35436695188503564,6966.150879575487,0.354700030125486,12.625307766917855,0.9207940100580911,13403,8502,8503,8675,8676,200008.03964414523,430.75324653903954,4035,"[[520696.4868621241,5662947.577361604],[520578.32640263636,5662967.147165437],[520708.48603658227,5662991.097060128],[520690.22232444835,5662961.878196735],[520625.57199829567,5662841.645476752]]",2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,b06f496e1139be53ba238524d9c743a507805e81a1caeb39959f91a2400bcabb,none,stationary,matched_prior_exact,1,0,"{""p_d"":0.8,""stage"":""c5-generalization"",""tau"":10000.0,""w"":0.5}",eeba6ec6b36996a8c22ff4c80fa204cd0d918597f69b98666fd42b58b41ef8c4,flat,temperate,269479,11.611788128072533,revision_C_base@2ce3a901fecb,2ce3a901fecb5ddde502d0a5eeffb8f48d73c5fd,fab97b80b871eeeac68aa1d75a33173cb368895f3e96803690e3cbc0acb1147d,c5-generalization_20260827_181139_043334_662411fc,662411fc2c56d0c02ce05c695ea52935ceb8d74da8d3bb51759e41a06bd0b419,none,none,none,none,evidence,revision_B_base,revision_B_base,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
