dataset,planning_seed,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,w
1,42,online_static_3step,dynamic_3step,0.1395724279194343,0.06163638800335964,0.13977042616814828,8677.0,26.572261429886467,11.750780978826796,0.9623667709788797,0.9148992733502688,4219.0,3967.0,407.10811659973115,424.19235781393945,e1541ec4c3203a188985ea123665c7c591f0a562c0e752375a546fd88a55f8b9,42,0.5
1,43,online_static_3step,dynamic_3step,0.14367248296997479,0.058307794678936486,0.14376947505251764,8800.0,32.17416144489495,13.238550066546622,0.9689191588811814,0.9244630269196197,4919.0,3905.0,471.88385146902874,422.53694350621663,523844ed78a0f583e442b643c9217c5abbf3c0623bfd68739147060cf00e4cb4,43,0.5
1,44,online_static_3step,dynamic_3step,0.11833838863986101,0.02799403782195581,0.11846070272643969,8676.0,25.704022561971204,12.625307766917855,0.9610955834796268,0.9207940100580911,4234.0,4035.0,412.6985668281559,430.75324653903954,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,0.5
1,45,online_static_3step,dynamic_3step,0.21108826066311817,0.09004592581381948,0.2112790711296382,8670.0,48.3993851313583,12.180301941049605,0.9793385804946498,0.9179002290058313,3929.0,3893.0,380.4902595146559,423.65703835873865,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,0.5
1,46,online_static_3step,dynamic_3step,0.06805365127499063,0.023251678340813667,0.0680319139834189,8626.0,22.55229357798165,14.64469938756146,0.9556586119925149,0.9317159080199793,4148.0,4081.0,403.1078805422876,437.50289303297177,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,0.5
1,47,online_static_3step,dynamic_3step,0.11580449611450574,0.0601386503702604,0.11582869429579282,8943.0,26.513666072489602,12.976128538638102,0.9622836013222029,0.9229354119741978,4051.0,3984.0,396.4174379473552,432.5721792182885,2fe61a766d51c57514713696731290ae92df7697333ae2dbc77e0f14e0d3ee88,47,0.5
1,48,online_static_3step,dynamic_3step,0.044541589960545136,0.012925503086258252,0.04451638792423157,8710.0,16.098961231682434,12.232387264082986,0.9378841910599784,0.9182498086096225,4320.0,4024.0,430.64105003513396,430.4359934083186,4aae7d3fd5610a876fe9bbaab463a83d8aeb4baf283a46ff967cce3f9e26de26,48,0.5
1,49,online_static_3step,dynamic_3step,0.14521108955322798,0.06869087727407261,0.14534806913177659,8619.0,27.639562911778885,11.591065056272303,0.9638199777908268,0.9137266510760487,4174.0,4006.0,403.8801183346659,434.257009988185,8542f702a4f00f38f331770accdb832ab7fd5821d0a61dc5c15feb3cec0e38d0,49,0.5
1,50,online_static_3step,dynamic_3step,0.0784627856079893,0.029359818266322404,0.0784352852174387,8593.0,20.74228675136116,13.794802867383513,0.9517893079009537,0.9275089314712569,4166.0,4149.0,403.8514762602281,448.03715978981927,0bcd08d9c5dd844ced37907c5e74335e22a8594076973ffb45d7b8eedb9ffc21,50,0.5
1,51,online_static_3step,dynamic_3step,0.144099647348699,0.06698689598050903,0.1442470123677147,8976.0,28.973152191492805,11.897232368642877,0.9654852881249966,0.9159468379691679,3549.0,4061.0,346.48162174387835,436.8547855189536,6fd43b0bf15e2a3328db22762d4ed33f7ce69b03a8096df04e90603800be5e91,51,0.5
