dataset,planning_seed,k,comparator,dRetention_Pdet,dDegradation_NRMST,dPdet,dRMST_rel
1,42,0,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,,,0.3302359813747413,0.1196830048810039
1,42,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.12065283222712331,-0.04692266565968367,0.28628085583191276,0.07273133494658991
1,42,2,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.11932165936587147,-0.06166221663254734,0.2422709458725319,0.057777267847209254
1,42,3,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.02130559885083705,-0.0949381461353074,0.19935827955261026,0.024320687634861157
1,42,0,online_static_3step_vs_random_uniform_n8_uncoordinated,,,0.21529779635419294,0.060795457527362436
1,42,1,online_static_3step_vs_random_uniform_n8_uncoordinated,0.06832566823875508,-0.0030663215840480706,0.2293672542015024,0.05770013166858406
1,42,2,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.055701892481240245,-0.03326731045772544,0.1719525643334666,0.02728462666838971
1,42,3,online_static_3step_vs_random_uniform_n8_uncoordinated,0.09715372984164583,-0.05139840711657,0.15701665592468028,0.008972879299957204
1,42,0,pizza_repartition_vs_random_uniform_n8_uncoordinated,,,0.30782393484931203,0.09487090971595231
1,42,1,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.12857369877652447,-0.02808008889900787,0.26419015586113337,0.06676181654221415
1,42,2,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.1541582839256107,-0.057201929718846245,0.214509541723344,0.037425459595858766
1,42,3,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.09100103928693326,-0.0905804042367279,0.16338747520116448,0.003866334368389122
1,42,0,dynamic_evidence_3step_vs_online_static_3step,,,0.11493818502054837,0.058887547353641476
1,42,1,dynamic_evidence_3step_vs_online_static_3step,-0.18897850046587839,-0.0438563440756356,0.0569136016304104,0.015031203278005854
1,42,2,dynamic_evidence_3step_vs_online_static_3step,-0.06361976688463122,-0.028394906174821898,0.0703183815390653,0.030492641178819543
1,42,3,dynamic_evidence_3step_vs_online_static_3step,-0.11845932869248288,-0.04353973901873741,0.04234162362793001,0.015347808334903951
1,42,0,dynamic_evidence_3step_vs_pizza_repartition,,,0.022412046525429274,0.024812095165051586
1,42,1,dynamic_evidence_3step_vs_pizza_repartition,0.007920866549401162,-0.0188425767606758,0.022090699970779393,0.005969518404375753
1,42,2,dynamic_evidence_3step_vs_pizza_repartition,0.03483662455973924,-0.004460286913701095,0.0277614041491879,0.02035180825135049
1,42,3,dynamic_evidence_3step_vs_pizza_repartition,0.06969544043609621,-0.004357741898579501,0.03597080435144581,0.020454353266472033
1,42,0,online_static_3step_vs_pizza_repartition,,,-0.09252613849511909,-0.034075452188589886
1,42,1,online_static_3step_vs_pizza_repartition,0.19689936701527955,0.0250137673149598,-0.034822901659631006,-0.0090616848736301
1,42,2,online_static_3step_vs_pizza_repartition,0.09845639144437046,0.023934619261120803,-0.042556977389877404,-0.010140832927469052
1,42,3,online_static_3step_vs_pizza_repartition,0.1881547691285791,0.03918199712015791,-0.0063708192764841964,0.005106544931568083
1,43,0,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,,,0.3248158087973289,0.09226749028072115
1,43,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.16708454449797971,-0.013134251298117152,0.3040935592899347,0.07883291462885136
1,43,2,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.13717885729716406,-0.05784539976844036,0.23578772878774534,0.03392489668663958
1,43,3,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.06876538774439056,-0.08703184441187156,0.18579677332452782,0.0046818015356263855
1,43,0,online_static_3step_vs_random_uniform_n8_uncoordinated,,,0.20090216969341768,0.03967397664064907
1,43,1,online_static_3step_vs_random_uniform_n8_uncoordinated,0.15195962889391246,-0.007759040828012752,0.18606749174086357,0.03161461145888371
1,43,2,online_static_3step_vs_random_uniform_n8_uncoordinated,0.3071556136220439,-0.013411727702238554,0.18465429989864154,0.025765055112769275
1,43,3,online_static_3step_vs_random_uniform_n8_uncoordinated,0.276934180930396,-0.037376865422542364,0.16166114717156993,0.0017432668848835955
1,43,0,pizza_repartition_vs_random_uniform_n8_uncoordinated,,,0.3006922955327417,0.08443926654342325
1,43,1,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.10596069655328555,-0.025632030401040253,0.26210661675540137,0.05850691178863032
1,43,2,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.12370249876178752,-0.055490101923457755,0.21415488953327674,0.02845197079432427
1,43,3,pizza_repartition_vs_random_uniform_n8_uncoordinated,0.03551710199888036,-0.09050203148506027,0.16140952296551092,-0.006616609274860091
1,43,0,dynamic_evidence_3step_vs_online_static_3step,,,0.12391363910391123,0.05259351364007209
1,43,1,dynamic_evidence_3step_vs_online_static_3step,0.015124915604067257,-0.0053752104701044,0.11802606754907113,0.047218303169967654
1,43,2,dynamic_evidence_3step_vs_online_static_3step,-0.16997675632487985,-0.0444336720662018,0.0511334288891038,0.008159841573870305
1,43,3,dynamic_evidence_3step_vs_online_static_3step,-0.20816879318600545,-0.0496549789893292,0.02413562615295789,0.0029385346507427904
1,43,0,dynamic_evidence_3step_vs_pizza_repartition,,,0.024123513264587226,0.007828223737297912
1,43,1,dynamic_evidence_3step_vs_pizza_repartition,0.061123847944694165,0.012497779102923101,0.041986942534533334,0.020326002840221038
1,43,2,dynamic_evidence_3step_vs_pizza_repartition,0.013476358535376542,-0.002355297844982604,0.0216328392544686,0.00547292589231531
1,43,3,dynamic_evidence_3step_vs_pizza_repartition,0.0332482857455102,0.0034701870731887047,0.0243872503590169,0.011298410810486477
1,43,0,online_static_3step_vs_pizza_repartition,,,-0.099790125839324,-0.044765289902774175
1,43,1,online_static_3step_vs_pizza_repartition,0.04599893234062691,0.0178729895730275,-0.0760391250145378,-0.026892300329746616
1,43,2,online_static_3step_vs_pizza_repartition,0.1834531148602564,0.0420783742212192,-0.0295005896346352,-0.0026869156815549945
1,43,3,online_static_3step_vs_pizza_repartition,0.24141707893151565,0.0531251660625179,0.00025162420605900904,0.008359876159743687
1,44,0,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,,,0.3445205161287231,0.11484712455772601
1,44,1,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,0.17103550705511994,-0.03848779235858465,0.2776830634124016,0.07603313541167225
