dataset,planning_seed,k,same_failure_identity,same_active_uav_ids,same_survivor_initial_positions,same_victim_seed,same_sensor_seed,same_environment_seed_semantics,same_domain,same_fov,same_pd,same_dt,same_speed,same_budget,same_termination_rule,same_sensor_pipeline,same_exposure_pipeline,random_target_exclusion_off,random_prior_access_false,random_belief_access_false,random_observation_access_false,same_failure_seed,no_hold_events,budget_expected,budget_actual,budget_error,max_step_distance,steps,termination_reason,total_exposure_events,step_bound_ok
1,42,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000464245,8000,budget_exhausted,152162,True
1,42,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000462916,8000,budget_exhausted,121712,True
1,42,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000462916,8000,budget_exhausted,91275,True
1,42,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000462539,8000,budget_exhausted,60876,True
1,43,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465654,8000,budget_exhausted,152485,True
1,43,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465654,8000,budget_exhausted,121998,True
1,43,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000465654,8000,budget_exhausted,91530,True
1,43,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464659,8000,budget_exhausted,61083,True
1,44,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465438,8000,budget_exhausted,152431,True
1,44,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465438,8000,budget_exhausted,122017,True
1,44,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000465438,8000,budget_exhausted,91545,True
1,44,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000465438,8000,budget_exhausted,61026,True
1,45,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000464554,8000,budget_exhausted,152285,True
1,45,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464554,8000,budget_exhausted,121790,True
1,45,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464554,8000,budget_exhausted,91317,True
1,45,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000463663,8000,budget_exhausted,60836,True
1,46,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465575,8000,budget_exhausted,152340,True
1,46,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464705,8000,budget_exhausted,121904,True
1,46,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464705,8000,budget_exhausted,91434,True
1,46,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000463858,8000,budget_exhausted,60925,True
1,47,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000464838,8000,budget_exhausted,152197,True
1,47,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464838,8000,budget_exhausted,121743,True
1,47,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464198,8000,budget_exhausted,91314,True
1,47,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464198,8000,budget_exhausted,60788,True
1,48,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465331,8000,budget_exhausted,152284,True
1,48,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465331,8000,budget_exhausted,121727,True
1,48,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000465331,8000,budget_exhausted,91296,True
1,48,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000465331,8000,budget_exhausted,60915,True
1,49,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000466184,8000,budget_exhausted,152437,True
1,49,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000466184,8000,budget_exhausted,121931,True
1,49,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000463549,8000,budget_exhausted,91416,True
1,49,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000463549,8000,budget_exhausted,60930,True
1,50,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.00000000046506,8000,budget_exhausted,152242,True
1,50,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464697,8000,budget_exhausted,121745,True
