dataset,k,planning_mode,n,retention_Pdet_mean,retention_Pdet_ci_lo,retention_Pdet_ci_hi,degradation_NRMST_mean
1,0,dynamic_evidence_3step,10,1.0,1.0,1.0,0.0
1,0,online_static_3step,10,1.0,1.0,1.0,0.0
1,0,pizza_repartition,10,1.0,1.0,1.0,0.0
1,0,random_uniform_n8_uncoordinated,10,1.0,1.0,1.0,0.0
1,1,dynamic_evidence_3step,10,0.8706526056784505,0.8262766240699427,0.9150285872869582,0.03051381772106982
1,1,online_static_3step,10,0.8574937702078703,0.7035204536996683,1.0114670867160722,0.02130647196016112
1,1,pizza_repartition,10,0.8643699749691288,0.8642614208237767,0.864478529114481,0.028420224658796227
1,1,random_uniform_n8_uncoordinated,10,0.868424848728419,0.7887941407067387,0.9480555567500992,0.0015459611752516756
1,2,dynamic_evidence_3step,10,0.7221689713405199,0.6768977175082942,0.7674402251727457,0.06749771010032905
1,2,online_static_3step,10,0.712902288319597,0.6412477987649193,0.7845567778742747,0.04052231195640339
1,2,pizza_repartition,10,0.7040391989752782,0.7038192043980972,0.7042591935524593,0.059982731734921746
1,2,random_uniform_n8_uncoordinated,10,0.6945889030149088,0.6172262715134179,0.7719515345163998,0.003865447609966466
1,3,dynamic_evidence_3step,10,0.5719381272246571,0.5440750732375046,0.5998011812118096,0.099710628287711
1,3,online_static_3step,10,0.5480612709935266,0.40787157785476646,0.6882509641322868,0.06905329394585974
1,3,pizza_repartition,10,0.5348142959216394,0.534635383142446,0.5349932087008329,0.09545083436405163
1,3,random_uniform_n8_uncoordinated,10,0.5342594267895227,0.4689935162104747,0.5995253373685706,0.005908755238262198
5,0,dynamic_evidence_3step,10,1.0,1.0,1.0,0.0
5,0,online_static_3step,10,1.0,1.0,1.0,0.0
5,0,pizza_repartition,10,1.0,1.0,1.0,0.0
5,0,random_uniform_n8_uncoordinated,10,1.0,1.0,1.0,0.0
5,1,dynamic_evidence_3step,10,0.9020870618691973,0.8699220145691176,0.934252109169277,0.021371264306189613
5,1,online_static_3step,10,0.9340472791268969,0.7084236250901494,1.1596709331636443,0.01704625825602963
5,1,pizza_repartition,10,0.8727590502460385,0.8726345016154871,0.87288359887659,0.02414761028006548
5,1,random_uniform_n8_uncoordinated,10,0.8349753855002351,0.7524999463578365,0.9174508246426337,0.001243897850686948
5,2,dynamic_evidence_3step,10,0.7428552132187273,0.7068638953451633,0.7788465310922913,0.04899963249408706
5,2,online_static_3step,10,0.759594997997689,0.6602266728254164,0.8589633231699617,0.033872109771292694
5,2,pizza_repartition,10,0.7226204085027705,0.7224934589018076,0.7227473581037335,0.0515944404782579
5,2,random_uniform_n8_uncoordinated,10,0.6758609346977298,0.5973080743580363,0.7544137950374232,0.0025871239070651363
5,3,dynamic_evidence_3step,10,0.5758107285387222,0.5515080593395599,0.6001133977378844,0.08056850607747637
5,3,online_static_3step,10,0.7093004494065503,0.5405772107677598,0.8780236880453409,0.05244144335822053
5,3,pizza_repartition,10,0.5523751398318881,0.5522575537511566,0.5524927259126197,0.08354013842181522
5,3,random_uniform_n8_uncoordinated,10,0.5160233581938403,0.4236753395584103,0.6083713768292702,0.003991992591649629
10,0,dynamic_evidence_3step,10,1.0,1.0,1.0,0.0
10,0,online_static_3step,10,1.0,1.0,1.0,0.0
10,0,pizza_repartition,10,1.0,1.0,1.0,0.0
10,0,random_uniform_n8_uncoordinated,10,1.0,1.0,1.0,0.0
10,1,dynamic_evidence_3step,10,0.8919740479375561,0.8265866375207799,0.9573614583543323,0.02016633373257607
10,1,online_static_3step,10,1.000234750287331,0.9667614330059608,1.0337080675687011,0.0019897917834925997
10,1,pizza_repartition,10,0.9007818625923256,0.9004039849900751,0.9011597401945761,0.01548415008712659
10,1,random_uniform_n8_uncoordinated,10,0.8198932256909881,0.6378693479345169,1.0019171034474592,0.0007130332236953141
10,2,dynamic_evidence_3step,10,0.801453558350507,0.7584345547589614,0.8444725619420527,0.043419115299203885
10,2,online_static_3step,10,1.0040781004597794,0.937303820085664,1.0708523808338948,0.006016687604709149
10,2,pizza_repartition,10,0.7775519970855458,0.7772335894552077,0.7778704047158839,0.033967931641506285
10,2,random_uniform_n8_uncoordinated,10,0.5469907307998019,0.34819951649639946,0.7457819451032043,0.002293206688982885
10,3,dynamic_evidence_3step,10,0.6533358805505278,0.6174271983277253,0.6892445627733303,0.07627653224745545
10,3,online_static_3step,10,0.9245210451766169,0.8638865775967124,0.9851555127565215,0.0178869345553717
10,3,pizza_repartition,10,0.6663794504999375,0.6662752525141377,0.6664836484857374,0.057772771502159294
10,3,random_uniform_n8_uncoordinated,10,0.34044954186875076,0.19511585702611148,0.48578322671139007,0.0031400666627994676
