dataset,planning_seed,planning_mode,policy_seed,rng_scheme,P_detect,RMST,L,unique_cells_observed,total_exposure_events,revisit_fraction,mean_exposures_per_observed_cell,max_exposures_per_cell,number_of_steps,distance_travelled,wall_time,planner_wall_time,number_of_replans,duplicate_targets,fraction_cycles_with_duplicate_targets,random_invalid_actions,random_hold_events,random_number_of_target_conflicts,random_reservation_blocked,termination_reason,T,H,T_common,H_common,actual_distance_total,initial_positions,initial_positions_hash,trajectory_hash,active_uav_streams_derived,nominal_uav_streams_derived,uav_ids_active,w,tau,lookahead_N,belief_model,environment_belief_model,environment_tau,sensor_p_d,victim_seed,sensor_seed,distribution_seed,failure_seed,simulation_victim_model,evaluation_victim_model,victim_sampling_model,evaluation_num_victims,simulation_num_victims,domain_hash,environment_type,environment_climate,k,NRMST,budget_total,budget_utilization,budget_error,active_fleet,failed_drone_ids,survivor_ids,survivor_positions,max_step_distance,retention_Pdet,retention_invalid_reason,degradation_NRMST,environment_seed_origin,implementation_version,git_commit,source_hash,experiment_id,config_hash,fix_profile,behavior_profile,p_d,num_drones,budget,size,fov_deg,altitude,drone_speed,victim_speed,dt,condition_key,condition_key_hash
1,43,random_uniform_n8_uncoordinated,1723940930,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.02099907613819403,7905.0030916133965,0.02109607566213971,513,152485,0.9966357346624258,297.24171539961014,1937,8000,200000.0,618.662475286983,0.0,8000,135,0.016625,0,0,0,0,budget_exhausted,8000,8001,8000,8001,200000.0,"[[520645.01713351544,5662882.161092503],[520765.01713351544,5662912.206616024],[520615.01713351544,5662882.161092503],[520675.01713351544,5662852.115568982],[520615.01713351544,5662942.252139544]]",de6506683a628b61ccaed496db2f3af4d1a2f6b066f9ddd6ec3d9f87199cb9de,c3e90c9c2f3fb81948e89fd0a14b6cad74ec381633e00bc358a49dcbe7e0308b,"{""0"":3320363277,""1"":1475925038,""2"":1276386504,""3"":3574317487,""4"":2239657023}","{""0"":3320363277,""1"":1475925038,""2"":1276386504,""3"":3574317487,""4"":2239657023}","[0,1,2,3,4]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,143461485,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,0,0.9880018862158976,200000.0,1.0,0.0,5,[],"[0,1,2,3,4]","[[520647.9649749217,5662895.104022372],[520750.9011834474,5662923.705106928],[520619.5439127976,5662887.529284183],[520660.59539358615,5662860.8589034155],[520601.16985800257,5662944.568816733]]",5.000000000465654,1.0,none,0.0,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
1,43,random_uniform_n8_uncoordinated,1723940930,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.015923949119707625,7928.190380421987,0.01600765156564052,418,121998,0.9965737143231856,291.8612440191388,1937,8000,160000.0,510.7673160219565,0.0,8000,99,0.012375,0,0,0,0,budget_exhausted,8000,8001,8000,8001,160000.0,"[[520645.01713351544,5662882.161092503],[520765.01713351544,5662912.206616024],[520675.01713351544,5662852.115568982],[520615.01713351544,5662942.252139544]]",fb54c3db6512a120b0f9ee2e19893eb96c60c4bfe6f0e9008e778b5743bcb777,1fe77a234e074a940a9043ec2e7d1dae0b7ef3ef751ad6426acf50be5a6f7a4c,"{""0"":3320363277,""1"":1475925038,""3"":3574317487,""4"":2239657023}","{""0"":3320363277,""1"":1475925038,""2"":1276386504,""3"":3574317487,""4"":2239657023}","[0,1,3,4]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,143461485,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,1,0.9908999350608658,160000.0,1.0,0.0,4,[2],"[0,1,3,4]","[[520647.9649749217,5662895.104022372],[520750.9011834474,5662923.705106928],[520660.59539358615,5662860.8589034155],[520601.16985800257,5662944.568816733]]",5.000000000465654,0.7583166523571223,none,0.0028980488449682484,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
1,43,random_uniform_n8_uncoordinated,1723940930,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.01217662405266545,7943.390177725265,0.012255867021924853,346,91530,0.9962198186386977,264.53757225433526,1367,8000,120000.0,406.9786344342865,0.0,8000,52,0.0065,0,0,0,0,budget_exhausted,8000,8001,8000,8001,120000.0,"[[520645.01713351544,5662882.161092503],[520765.01713351544,5662912.206616024],[520675.01713351544,5662852.115568982]]",ab087f2eb753c2ea34d9ad6f7671994cb840a2b6f6f0be9f1de1bbe36545ea11,78e1100c19fd899a42abaa1a7d83b2d3eb49a1aad381fe2636f25dbc9fbb6508,"{""0"":3320363277,""1"":1475925038,""3"":3574317487}","{""0"":3320363277,""1"":1475925038,""2"":1276386504,""3"":3574317487,""4"":2239657023}","[0,1,3]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,143461485,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,2,0.992799672256626,120000.0,1.0,0.0,3,"[2,4]","[0,1,3]","[[520647.9649749217,5662895.104022372],[520750.9011834474,5662923.705106928],[520660.59539358615,5662860.8589034155]]",5.000000000465654,0.579864750836256,none,0.004797786040728447,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
1,43,random_uniform_n8_uncoordinated,1723940930,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.010474245646272475,7947.764021085088,0.010550451749100796,308,61083,0.9949576805330452,198.32142857142858,1114,8000,80000.0,300.112312160898,0.0,8000,0,0.0,0,0,0,0,budget_exhausted,8000,8001,8000,8001,80000.0,"[[520645.01713351544,5662882.161092503],[520765.01713351544,5662912.206616024]]",7165e58257fcbe68a59452031b9f38ad042ad4f711052a657ee27477de171fe0,7ea00a8f4bb1ecbd59e0dff7cc8f825c989423bbb02618ec5d734aeb2ac46999,"{""0"":3320363277,""1"":1475925038}","{""0"":3320363277,""1"":1475925038,""2"":1276386504,""3"":3574317487,""4"":2239657023}","[0,1]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,143461485,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,3,0.993346334343843,80000.0,1.0,0.0,2,"[2,4,3]","[0,1]","[[520647.9649749217,5662895.104022372],[520750.9011834474,5662923.705106928]]",5.000000000464659,0.4987955459250639,none,0.005344448127945434,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
1,48,random_uniform_n8_uncoordinated,3632189806,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.021843424832347972,7901.112455679939,0.02195137201778075,510,152284,0.9966509941950566,298.5960784313726,1485,8000,200000.0,625.7615343751386,0.0,8000,140,0.0175,0,0,0,0,budget_exhausted,8000,8001,8000,8001,200000.0,"[[520615.01713351544,5662972.297663065],[520585.01713351544,5662912.206616024],[520615.01713351544,5662822.070045462],[520585.01713351544,5662882.161092503],[520675.01713351544,5662852.115568982]]",6a770aa80b8b9a32e0208d4e57fa414f4e132f94048c63345cf70e2879ceaf9c,fb97be0d5dcd21e5c1d71eb253d63afa78819f1e4bd54b92f367ad4358d854aa,"{""0"":3253451733,""1"":730812991,""2"":1796752364,""3"":2685987438,""4"":285361026}","{""0"":3253451733,""1"":730812991,""2"":1796752364,""3"":2685987438,""4"":285361026}","[0,1,2,3,4]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,3781670433,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,0,0.9875156175078038,200000.0,1.0,0.0,5,[],"[0,1,2,3,4]","[[520601.26125446317,5662962.26140178],[520576.994053098,5662904.989472677],[520606.5952474223,5662836.198260312],[520598.62839204696,5662873.333030157],[520666.2597041656,5662866.748449267]]",5.000000000465331,1.0,none,0.0,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
1,48,random_uniform_n8_uncoordinated,3632189806,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.021235153270585876,7909.786202522138,0.021328121944540174,498,121727,0.995908878063207,244.43172690763052,1308,8000,160000.0,516.2562494128942,0.0,8000,46,0.00575,0,0,0,0,budget_exhausted,8000,8001,8000,8001,160000.0,"[[520615.01713351544,5662972.297663065],[520585.01713351544,5662912.206616024],[520615.01713351544,5662822.070045462],[520675.01713351544,5662852.115568982]]",1f9349e1ee0c6316f4f37a2121d0b9426700ba35d9c4d567a0828fa992122f6d,e71d1d568f29992dbb5352c704cdea556bac73af61e7aeae5151d7507fea233c,"{""0"":3253451733,""1"":730812991,""2"":1796752364,""4"":285361026}","{""0"":3253451733,""1"":730812991,""2"":1796752364,""3"":2685987438,""4"":285361026}","[0,1,2,4]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,3781670433,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,1,0.9885997003527233,160000.0,1.0,0.0,4,[3],"[0,1,2,4]","[[520601.26125446317,5662962.26140178],[520576.994053098,5662904.989472677],[520606.5952474223,5662836.198260312],[520666.2597041656,5662866.748449267]]",5.000000000465331,0.9721531048161777,none,0.001084082844919454,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
1,48,random_uniform_n8_uncoordinated,3632189806,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.01714974059794739,7931.443149141096,0.01723197820987518,374,91296,0.9959034349807221,244.10695187165774,1308,8000,120000.0,408.9708021823317,0.0,8000,43,0.005375,0,0,0,0,budget_exhausted,8000,8001,8000,8001,120000.0,"[[520615.01713351544,5662972.297663065],[520585.01713351544,5662912.206616024],[520675.01713351544,5662852.115568982]]",4b28ef46d2ae3ace1c185a9e8158fdf062d7b95e2f026f2b9e433acd7143909e,6a03600e4a49b1ba1d0bfeb2f9c39c90188f4b840adf3a5eb06be48a890ff669,"{""0"":3253451733,""1"":730812991,""4"":285361026}","{""0"":3253451733,""1"":730812991,""2"":1796752364,""3"":2685987438,""4"":285361026}","[0,1,4]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,3781670433,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,2,0.9913064803325954,120000.0,1.0,0.0,3,"[3,2]","[0,1,4]","[[520601.26125446317,5662962.26140178],[520576.994053098,5662904.989472677],[520666.2597041656,5662866.748449267]]",5.000000000465331,0.785121414319164,none,0.0037908628247915743,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
1,48,random_uniform_n8_uncoordinated,3632189806,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.011807163067209242,7955.417396956356,0.011853492178763081,271,60915,0.9955511778708036,224.77859778597787,1242,8000,80000.0,302.3514940049499,0.0,8000,15,0.001875,0,0,0,0,budget_exhausted,8000,8001,8000,8001,80000.0,"[[520585.01713351544,5662912.206616024],[520675.01713351544,5662852.115568982]]",d702fbc00246e247d3cfea32374e5b9538d8b581d22866734a71c3067c3f07d6,6ed45a28177cd20a36538aa5dd759d5711dd324c5a95ef9b39a75ebed6f465d7,"{""1"":730812991,""4"":285361026}","{""0"":3253451733,""1"":730812991,""2"":1796752364,""3"":2685987438,""4"":285361026}","[1,4]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,3781670433,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,3,0.9943028867586997,80000.0,1.0,0.0,2,"[3,2,0]","[1,4]","[[520576.994053098,5662904.989472677],[520666.2597041656,5662866.748449267]]",5.000000000465331,0.5405362555474356,none,0.0067872692508959,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
1,49,random_uniform_n8_uncoordinated,2101923733,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.026978062483789197,7898.298544477579,0.027072664051442867,607,152437,0.9960180271194001,251.1317957166392,2065,8000,200000.0,627.9056698610075,0.0,8000,223,0.027625,0,0,0,0,budget_exhausted,8000,8001,8000,8001,200000.0,"[[520615.01713351544,5662972.297663065],[520585.01713351544,5662972.297663065],[520645.01713351544,5662912.206616024],[520675.01713351544,5662822.070045462],[520615.01713351544,5662912.206616024]]",30dcd531ac44796a9d76860400f92ce1445a8ba0c1900d0a11fd4ded50ecd1bf,6d60390e041d218737dcd6ec503a0d53da3c62655431f321664788638891f10a,"{""0"":2750785714,""1"":245520859,""2"":2849860812,""3"":2688674635,""4"":3328375683}","{""0"":2750785714,""1"":245520859,""2"":2849860812,""3"":2688674635,""4"":3328375683}","[0,1,2,3,4]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,3094825738,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,0,0.9871639225693761,200000.0,1.0,0.0,5,[],"[0,1,2,3,4]","[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520676.4538689765,5662813.7821344],[520626.6578384796,5662910.2576500075]]",5.000000000466184,1.0,none,0.0,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
1,49,random_uniform_n8_uncoordinated,2101923733,"policy_seed = SeedSequence([planning_seed, dataset_id, hash('c6-random-policy')]); per-UAV stream = SeedSequence([policy_seed, uav_id]) -> default_rng(derived_seed); one stream per persistent UAV identity; streams are never shared or consumed sequentially across UAVs",0.02266856924295851,7916.253776023328,0.022738887096467812,524,121931,0.995702487472423,232.69274809160305,2065,8000,160000.0,521.3762778532691,0.0,8000,173,0.0215,0,0,0,0,budget_exhausted,8000,8001,8000,8001,160000.0,"[[520615.01713351544,5662972.297663065],[520585.01713351544,5662972.297663065],[520645.01713351544,5662912.206616024],[520615.01713351544,5662912.206616024]]",3c2d835d9e554c7d7bbfc10c20b5643577ac7d1a7c24b8dd1a5defdcc5b63261,5c8762620daedf7ebc1ffcb479d1d16d41bca67c04062b8f621fecb04c2723ca,"{""0"":2750785714,""1"":245520859,""2"":2849860812,""4"":3328375683}","{""0"":2750785714,""1"":245520859,""2"":2849860812,""3"":2688674635,""4"":3328375683}","[0,1,2,4]",not_applicable,not_applicable,not_applicable,not_applicable,evidence,10000.0,0.8,none,none,none,3094825738,none,stationary,matched_prior_exact,1,0,195114f1cc7e2281aceadba7f32b42335b9f813accc1177d689a729aef6cfcb4,flat,temperate,1,0.9894080459971664,160000.0,1.0,0.0,4,[3],"[0,1,2,4]","[[520609.86604198645,5662970.662074452],[520598.553868358,5662961.797541534],[520653.51501144096,5662902.532887409],[520626.6578384796,5662910.2576500075]]",5.000000000466184,0.8402593498543415,none,0.0022441234277902344,verbatim from frozen C4 row (C4 recorded none for victim/sensor/distribution; failure_seed real),revision_C_base@7c27a44,7c27a44,45e2af3666873b8389a0bd7936fd9b6029d41fa8169fa964adb24a85ca76dec6,c6-random_20260831_182014_803486_5cf558a2,5cf558a20d4e6c9ac5845bd72e390abc3dcd6217c904aa099c208da79cfb245f,revision_B_base,revision_B_base,0.8,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0,"{""p_d"":0.8,""stage"":""c6-random"",""tau"":10000.0,""w"":0.5}",b7a677794b82ff1680841467faa35377b7d82f925e1dd78d94f0523c73551860
