dataset,dPdet_n,dPdet_mean,dPdet_sd,dPdet_se,dPdet_ci_lo,dPdet_ci_hi,dPdet_favorable_count,dPdet_n_total,dPdet_tost_p_lower,dPdet_tost_p_upper,dPdet_tost_p_max,dPdet_equivalent,dRMST_rel_n,dRMST_rel_mean,dRMST_rel_sd,dRMST_rel_se,dRMST_rel_ci_lo,dRMST_rel_ci_hi,dRMST_rel_favorable_count,dRMST_rel_n_total,dRMST_rel_tost_p_lower,dRMST_rel_tost_p_upper,dRMST_rel_tost_p_max,dRMST_rel_equivalent,state,contrast,method_label,source_planning_mode
1,10,0.21135798897605565,0.04190264267816669,0.013250779084318463,0.181382644157808,0.2413333337943033,10,10,2.2067380276737172e-08,0.9999999496098851,0.9999999496098851,False,10,0.07010948306184273,0.027277969193623776,0.008626051259575771,0.050595999418328916,0.08962296670535654,10,10,1.2426088258152954e-06,0.9998717307408651,0.9998717307408651,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
2,10,0.08377112860028331,0.02526419766694259,0.007989240788425063,0.06569821032542797,0.10184404687513865,10,10,4.6481715545536015e-07,0.9999965405911236,0.9999965405911236,False,10,0.03459607893728812,0.017278510180560078,0.005463944674497704,0.022235777354740027,0.04695638051983621,10,10,1.8009817164441904e-06,0.9872169660380338,0.9872169660380338,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
3,10,0.0908171084355982,0.030452059665287117,0.009629786798565201,0.06903301725300434,0.11260119961819207,10,10,1.2198315539609904e-06,0.9999924659143774,0.9999924659143774,False,10,0.03953257212802997,0.017967968264262234,0.005681970464069088,0.026679061943928245,0.052386082312131696,10,10,1.2119002444074258e-06,0.9962909418129218,0.9962909418129218,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
4,10,0.21737462849342576,0.02898103361552042,0.009164607517094905,0.19664284595439524,0.23810641103245628,10,10,6.73590605637854e-10,0.999999998475585,0.999999998475585,False,10,0.08348105108886719,0.018781735882380215,0.0059393063800033796,0.07004540661928947,0.09691669555844491,10,10,1.5268486453407122e-08,0.999998974667036,0.999998974667036,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
5,10,0.15035033900672773,0.036632535675053035,0.01158422492005414,0.1241450016283618,0.17655567638509367,10,10,1.1309314398198452e-07,0.9999996452229497,0.9999996452229497,False,10,0.029983995774373978,0.035277099306631046,0.011155598305290077,0.004748279162762513,0.05521971238598544,8,10,0.0007655272248644201,0.8029474572854911,0.8029474572854911,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
6,10,0.23305219112012052,0.01790553746502267,0.0056622281118949135,0.2202433412394001,0.24586104100084094,10,10,5.043987503927027e-12,0.9999999999891158,0.9999999999891158,False,10,0.08095292187575237,0.010598475266720413,0.0033515321567797064,0.07337122940094465,0.08853461435056009,10,10,1.1979075293084054e-10,0.9999999895197064,0.9999999895197064,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
7,10,0.056672060656133005,0.020842713395663844,0.00659104469484,0.04176208168937759,0.07158203962288842,10,10,1.625818667850818e-06,0.9999710746907176,0.9999710746907176,False,10,0.02002428894245008,0.014776947657132168,0.0046728811461626526,0.009453497386753551,0.03059508049814661,8,10,6.389007510429763e-06,0.5020169377563966,0.5020169377563966,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
8,10,0.07152678591193407,0.03280918945142801,0.010375176685048284,0.048056505658555154,0.09499706616531298,10,10,1.2767902740755544e-05,0.99988966492233,0.99988966492233,False,10,0.020270636036416132,0.020277031875212716,0.006412160491350731,0.00576532125189542,0.034775950820936846,9,10,7.215811533064819e-05,0.5163722661712575,0.5163722661712575,False,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
9,10,0.08029815051239061,0.021075176719655208,0.006664556052466636,0.06522187730143308,0.09537442372334815,10,10,1.3602186040707378e-07,0.9999988544525036,0.9999988544525036,False,10,-0.0018219236008823838,0.0154248083663356,0.004877752690924138,-0.01285616678901464,0.009212319587249874,5,10,0.0023606227673953015,0.0007731244380594332,0.0023606227673953015,True,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
10,10,0.11878598766623578,0.011592908990547723,0.003665999711717422,0.11049292015955807,0.1270790551729135,10,10,3.032807329602452e-11,0.9999999998631174,0.9999999998631174,False,10,0.008184137488334927,0.015091436366014508,0.004772331208010035,-0.0026116257371103825,0.018979900713780237,6,10,0.0001137241799119053,0.017613519342673363,0.017613519342673363,True,IMPROVEMENT,online_static_3step,online_static_3step,online_static_3step
