dataset,planning_seed,planning_mode,simulation_mode,condition,failure_ids,failure_identity_source,failure_seed,failure_fraction,trigger_step,failure_distance,failure_time,search_inactive_uav_ids,search_inactive_activation_uav_ids,no_parked_repeats,search_inactive_post_fault_exposures,failed_uav_post_fault_distance,failed_uav_post_fault_exposures,P_detect,RMST,RMST_at_own_T,RMST_at_fault,L,Pdet_at_fault,PostFault_PdetGain,ConditionalPostFaultPdet,exposure_multiplicity,revisit_fraction,T,H,P_detect_at_Tref,RMST_at_Tref,NRMST_at_Tref,actual_distance_total,budget_utilization,termination_reason,max_step_distance,dead_uav_silent,hold_inactive_for_search,step_bound_ok,initial_positions,initial_positions_hash,trajectory_hash,prefailure_trajectory_hash,policy_seed,pizza_assignment_diag,number_of_replans,planner_wall_time,victim_sampling_model,simulation_num_victims,evaluation_victim_model,evaluation_num_victims,condition_key,condition_key_hash,NRMST,T_common,H_common,retention_Pdet,retention_invalid_reason,degradation_NRMST,common_horizon_ok,implementation_version,git_commit,source_hash,experiment_id,config_hash,victim_seed,sensor_seed,distribution_seed,belief_model,fix_profile,behavior_profile,w,p_d,tau,simulation_victim_model,num_drones,budget,size,fov_deg,altitude,drone_speed,victim_speed,dt
1,42,dynamic_evidence_3step,dynamic_3step,midflight_failure,[1],c4_frozen,2135276945,0.5,4251,100005.50270250441,4251.0,[],[],True,0,0.0,0,0.347749154821941,7573.047444136611,7412.593736222996,3661.03161812359,0.34805037108638026,0.2375836092908703,0.11016554553107072,0.1444952481000636,13.15751882617809,0.9239978286779718,9573,9574,0.3189291146813701,6364.463199898047,0.795458467678796,200001.33047681264,1.0000066523840632,budget_exhausted,5.0000000001559215,True,True,True,"[[520675.01713351544,5662852.115568982],[520705.01713351544,5662852.115568982],[520735.01713351544,5662972.297663065],[520675.01713351544,5662822.070045462],[520705.01713351544,5662972.297663065]]",30c155ffbc9a6fbd3effb7d8ee5b520261c472508e4a88bedcd430719d2c0104,78e7b2c45ef6e9bee031642f3c9b3b4c09024949ff5426b3c5441cf857f8402e,a14aa96ec0c5ca92acdbd9dceb44387cab0e31ac8957d9f5503dcd0903fe9bb1,697467652,null,4026,156.1687346570543,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.7711860941075979,9819,9820,1.0105729974708308,none,0.0056921105627838475,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,dynamic_evidence_3step,dynamic_3step,k0_baseline,[],none,none,none,none,none,none,[],[],True,0,0.0,0,0.34411087144843133,7517.150918410073,6648.09782307906,none,0.3444201539318853,none,none,none,12.76024760323092,0.9216316147543409,8494,8495,0.3351152968415509,6321.813324822209,0.7901278996153243,200001.37783143646,1.0000068891571823,budget_exhausted,5.0000000001559215,True,True,True,"[[520675.01713351544,5662852.115568982],[520705.01713351544,5662852.115568982],[520735.01713351544,5662972.297663065],[520675.01713351544,5662822.070045462],[520705.01713351544,5662972.297663065]]",30c155ffbc9a6fbd3effb7d8ee5b520261c472508e4a88bedcd430719d2c0104,c7c7c47195bd0ee5695eff6f4dc44f6d2d0fa382be641f0208c7dd63b6f744e4,none,none,none,3984,132.17258140601916,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.765493983544814,9819,9820,1.0,none,0.0,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,online_static_3step,midflight_failure,[1],c4_frozen,2135276945,0.5,4295,100018.1334188632,4295.0,[],[],True,0,0.0,0,0.2381065090435675,8145.592960703908,8145.592960703908,3802.193363481723,0.2383652259399444,0.17769437557029008,0.060412133473277424,0.07346676427657271,25.09623430962343,0.9601533844614871,9819,9820,0.22370028539336023,6746.884184374549,0.8432551161572989,200003.19000681056,1.0000159500340529,budget_exhausted,5.0000000001559215,True,True,True,"[[520675.01713351544,5662852.115568982],[520705.01713351544,5662852.115568982],[520735.01713351544,5662972.297663065],[520675.01713351544,5662822.070045462],[520705.01713351544,5662972.297663065]]",30c155ffbc9a6fbd3effb7d8ee5b520261c472508e4a88bedcd430719d2c0104,052c7e462f9b491ce493abe83a55572293489190b2a925aac239549647d83e1f,5f64c5d542321a6fadab11f1017edf72552922381053fb23c5e355f3286e8bf7,697467652,null,4416,154.54956145538017,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.8294901181979539,9819,9820,1.0389829292265853,none,-0.0005421389011482924,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,online_static_3step,online_static_3step,k0_baseline,[],none,none,none,none,none,none,[],[],True,0,0.0,0,0.2291726864278829,8150.9167647131835,7269.0903179866355,none,0.22942248190613312,none,none,none,26.570880638232588,0.9623648153173701,8675,8676,0.22366916394480604,6746.917974801671,0.8432593394327799,200000.2863851179,1.0000014319255897,budget_exhausted,5.0000000001559215,True,True,True,"[[520675.01713351544,5662852.115568982],[520705.01713351544,5662852.115568982],[520735.01713351544,5662972.297663065],[520675.01713351544,5662822.070045462],[520705.01713351544,5662972.297663065]]",30c155ffbc9a6fbd3effb7d8ee5b520261c472508e4a88bedcd430719d2c0104,90cbbed5abdaf1c3179d61af321efbd987ddd7c9918de9990441d857d1831fe0,none,none,none,4204,128.91974230197957,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.8300322570991022,9819,9820,1.0,none,0.0,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,pizza_fixed_midflight,pizza_fixed,midflight_failure,[1],c4_frozen,2135276945,0.5,4008,100002.45022746253,4008.0,[],[],True,0,0.0,0,0.3076125833117588,7863.551830118145,7304.795184850625,3575.1023511927456,0.3079932161964976,0.19505249525995388,0.1125600880518049,0.13983531520872983,10.944998575092619,0.9086340675936052,9012,9013,0.288373925488857,6594.619566822688,0.824224417800611,200001.36063937878,1.0000068031968938,budget_exhausted,5.000000000891834,True,True,True,"[[520675.01713351544,5662852.115568982],[520705.01713351544,5662852.115568982],[520735.01713351544,5662972.297663065],[520675.01713351544,5662822.070045462],[520705.01713351544,5662972.297663065]]",30c155ffbc9a6fbd3effb7d8ee5b520261c472508e4a88bedcd430719d2c0104,f8bb6a5b025ab3dd5ec6294eeb6bf2d9f93c0d1d52f513e17a4d17d53c415b73,51076162a42782ff27ec32b2b52703707591f0ca014d02e47ca72ce7bea0f589,697467652,null,0,0.0,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.8007690254702795,9819,9820,0.9562129528616874,none,0.010704906857474605,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,pizza_no_failure,pizza_replan,k0_baseline,[],none,none,none,none,none,none,[],[],True,0,0.0,0,0.32169882492300206,7758.429644777744,6532.7394214136575,none,0.32210521465179803,none,none,none,10.984555984555984,0.90896309314587,8012,8013,0.3213228108631779,6524.597600763783,0.8154727659997228,200023.02991514912,1.0001151495757457,budget_exhausted,5.000000000891834,True,True,True,"[[520675.01713351544,5662852.115568982],[520705.01713351544,5662852.115568982],[520735.01713351544,5662972.297663065],[520675.01713351544,5662822.070045462],[520705.01713351544,5662972.297663065]]",30c155ffbc9a6fbd3effb7d8ee5b520261c472508e4a88bedcd430719d2c0104,6a36009868ad6d09ee5481da6b266b731a107476044cbc6b604f9c6933c6e951,none,none,none,0,0.0,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.7900641186128049,9819,9820,1.0,none,0.0,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,pizza_replan_midflight,pizza_replan,midflight_failure,[1],c4_frozen,2135276945,0.5,4008,100002.45022746253,4008.0,[],[],True,0,0.0,0,0.25680932606118884,8066.331601644476,7467.319918449804,3575.1023511927456,0.25701699918712445,0.19505249525995388,0.06175683080123495,0.07672156312998203,14.457150911482804,0.9308300780615263,9013,9014,0.23950740913156177,6703.900917241056,0.8378828792952201,200012.38636316676,1.000061931815834,budget_exhausted,5.000000000900251,True,True,True,"[[520675.01713351544,5662852.115568982],[520705.01713351544,5662852.115568982],[520735.01713351544,5662972.297663065],[520675.01713351544,5662822.070045462],[520705.01713351544,5662972.297663065]]",30c155ffbc9a6fbd3effb7d8ee5b520261c472508e4a88bedcd430719d2c0104,f9d391cd2387854124ea8d914bcbc24b98af45cb9381fb2fceb0e11a51e4f2de,51076162a42782ff27ec32b2b52703707591f0ca014d02e47ca72ce7bea0f589,697467652,"{""assignment"":{""0"":[0,""forward""],""2"":[2,""forward""],""3"":[3,""forward""],""4"":[1,""forward""]},""assignment_cost"":2561.6889710246414,""deadhead_fraction_remaining_budget"":0.02561751739769291,""deadhead_per_drone"":{""0"":1195.7155524749708,""2"":22.893583904647652,""3"":1315.023735253262,""4"":28.056099391760895},""deadhead_total"":2561.6889710246414,""empty_sectors"":0,""generator"":""generate_pizza_zigzag_path(overlap=0.0, path_point_spacing_m=10.0, border_gap_m=0.0)"",""num_sectors"":4,""orientations_per_sector"":{""0"":""forward"",""2"":""forward"",""3"":""forward"",""4"":""forward""},""prefix_removed_total"":4947,""route_length_after_replan"":{""0"":1170341.9047108477,""2"":1149763.169834793,""3"":1170085.3174933859,""4"":1149299.7435968446},""search_inactive_uav_ids"":[],""suffix_removed_total"":0,""survivor_ids"":[0,2,3,4],""task_splits"":0}",0,0.0,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.8214186967051401,9819,9820,0.7982911536051013,none,0.03135457809233522,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,random_uniform_n8_uncoordinated,random_uniform_n8_uncoordinated,midflight_failure,[1],c4_frozen,2135276945,0.5,4000,100000.0,4000.0,[],[],True,0,0.0,0,0.01411805053561657,9718.008603946051,8910.57128733444,3975.2559457420616,0.014156555176543937,0.01017992348345174,0.003938127052164831,0.003978629192917762,434.7857142857143,0.9977000164284541,9000,9001,0.013874890073689972,7924.621614243228,0.990453895043523,200000.0,1.0,budget_exhausted,5.000000000462916,True,True,True,"[[520675.01713351544,5662852.115568982],[520705.01713351544,5662852.115568982],[520735.01713351544,5662972.297663065],[520675.01713351544,5662822.070045462],[520705.01713351544,5662972.297663065]]",30c155ffbc9a6fbd3effb7d8ee5b520261c472508e4a88bedcd430719d2c0104,74ec4b085454349a5d2d9a737d400f562058a8882791baa8d62cbe0ffc5fe0b3,6d4c1b2adaf75589282853dd0b223a4642bc8fb5aa539dbbb7af95b2a82620fe,697467652,null,9000,0.0,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.9896139107888036,9819,9820,1.0175252171826346,none,-3.814513781719153e-05,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,42,random_uniform_n8_uncoordinated,random_uniform_n8_uncoordinated,k0_baseline,[],none,none,none,none,none,none,[],[],True,0,0.0,0,0.013874890073689972,9718.383189199416,7924.621614243228,none,0.01390488590935585,none,none,none,444.91812865497076,0.9977523954732456,8000,8001,0.013874890073689972,7924.621614243228,0.990453895043523,200000.0,1.0,budget_exhausted,5.000000000464245,True,True,True,"[[520675.01713351544,5662852.115568982],[520705.01713351544,5662852.115568982],[520735.01713351544,5662972.297663065],[520675.01713351544,5662822.070045462],[520705.01713351544,5662972.297663065]]",30c155ffbc9a6fbd3effb7d8ee5b520261c472508e4a88bedcd430719d2c0104,382fcb0e76876c8d2881fe09aa0c9dbc096baa1b3017d366a8f580cd81b83300,none,697467652,none,8000,0.0,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.9896520559266208,9819,9820,1.0,none,0.0,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
1,43,dynamic_evidence_3step,dynamic_3step,midflight_failure,[2],c4_frozen,143461485,0.5,4252,100020.77148882812,4252.0,[],[],True,0,0.0,0,0.35817752955779214,7748.6774985698,7544.577952969019,3741.111235852925,0.3585059480374349,0.19787295218259096,0.16030457737520118,0.19984936028699019,12.751016413190785,0.9215748793982015,9566,9567,0.3187290765985157,6508.826833296428,0.8135016664537468,200008.79800549668,1.0000439900274833,budget_exhausted,5.0000000001559215,True,True,True,"[[520645.01713351544,5662882.161092503],[520765.01713351544,5662912.206616024],[520615.01713351544,5662882.161092503],[520675.01713351544,5662852.115568982],[520615.01713351544,5662942.252139544]]",de6506683a628b61ccaed496db2f3af4d1a2f6b066f9ddd6ec3d9f87199cb9de,8d3c553cf63f17077254ae9ec443925231568615a91bff1831563576c6cb1e14,4453a07965b010c6bf7ae1a9f2760da60ebe35c95dae2ff26c85a31c61951e51,1723940930,null,4061,158.50549875147408,matched_prior_exact,0,stationary,1,"{""fraction"":0.5,""k"":1,""stage"":""c7-midflight""}",c99e3623df7068ce7572a62c7a295ea4141b07e209c76bb95906acbdcaab1002,0.7838823974273951,9884,9885,1.0357493131753834,none,0.004035457749648308,True,revision_C_base@712b395,712b395,5ede81cb5815049fe381f461ce5502b4a13d3d3945ab77c4b78242c6d10572b8,c7-midflight_20260909_155840_581849_989802fd,989802fd17703a1d691564e2c747fd36b02a93307e474afa97713c215f883841,none,none,none,evidence,revision_B_base,revision_B_base,0.5,0.8,10000.0,none,5,200000.0,xlarge,45.0,80.0,5.0,0.5,1.0
